run_id,stage,wp,cfg,fluid_hp,fluid_he,seed,scheduler_status,exit_code,elapsed_s,run_dir,detail
S0FINALFIX_DCA_SBVCHP-SRORC_R1233zdE_R600a_seed042_20260716T110657Z,S0FINALFIX,DC-A,SBVCHP_SRORC,R1233zd(E),R600a,42,FINISHED,0,2.603416681289673,${CBSIM_RUNS_ROOT}/S0_REMEDIATION/BATCH_S0FINALFIX_20260716T110657Z/runs/S0FINALFIX_DCA_SBVCHP-SRORC_R1233zdE_R600a_seed042_20260716T110657Z,
S0FINALFIX_DCA_SBVCHP-SBORC_R1233zdE_R290_seed042_20260716T110657Z,S0FINALFIX,DC-A,SBVCHP_SBORC,R1233zd(E),R290,42,FINISHED,0,2.896299362182617,${CBSIM_RUNS_ROOT}/S0_REMEDIATION/BATCH_S0FINALFIX_20260716T110657Z/runs/S0FINALFIX_DCA_SBVCHP-SBORC_R1233zdE_R290_seed042_20260716T110657Z,
S0FINALFIX_DCA_SBVCHP-SRORC_R1233zdE_R290_seed042_20260716T110657Z,S0FINALFIX,DC-A,SBVCHP_SRORC,R1233zd(E),R290,42,FINISHED,0,2.871133804321289,${CBSIM_RUNS_ROOT}/S0_REMEDIATION/BATCH_S0FINALFIX_20260716T110657Z/runs/S0FINALFIX_DCA_SBVCHP-SRORC_R1233zdE_R290_seed042_20260716T110657Z,
S0FINALFIX_DCA_SBVCHP-SBORC_R1233zdE_R600a_seed042_20260716T110657Z,S0FINALFIX,DC-A,SBVCHP_SBORC,R1233zd(E),R600a,42,FINISHED,0,2.8622562885284424,${CBSIM_RUNS_ROOT}/S0_REMEDIATION/BATCH_S0FINALFIX_20260716T110657Z/runs/S0FINALFIX_DCA_SBVCHP-SBORC_R1233zdE_R600a_seed042_20260716T110657Z,
S0FINALFIX_DCA_SBVCHP-SRORC_R1233zdE_R1234yf_seed042_20260716T110657Z,S0FINALFIX,DC-A,SBVCHP_SRORC,R1233zd(E),R1234yf,42,FINISHED,0,3.1422715187072754,${CBSIM_RUNS_ROOT}/S0_REMEDIATION/BATCH_S0FINALFIX_20260716T110657Z/runs/S0FINALFIX_DCA_SBVCHP-SRORC_R1233zdE_R1234yf_seed042_20260716T110657Z,
S0FINALFIX_DCA_SRVCHP-SBORC_R1233zdE_R290_seed042_20260716T110657Z,S0FINALFIX,DC-A,SRVCHP_SBORC,R1233zd(E),R290,42,FINISHED,0,3.1350479125976562,${CBSIM_RUNS_ROOT}/S0_REMEDIATION/BATCH_S0FINALFIX_20260716T110657Z/runs/S0FINALFIX_DCA_SRVCHP-SBORC_R1233zdE_R290_seed042_20260716T110657Z,
S0FINALFIX_DCA_SRVCHP-SRORC_R1233zdE_R1234yf_seed042_20260716T110657Z,S0FINALFIX,DC-A,SRVCHP_SRORC,R1233zd(E),R1234yf,42,FINISHED,0,3.119868516921997,${CBSIM_RUNS_ROOT}/S0_REMEDIATION/BATCH_S0FINALFIX_20260716T110657Z/runs/S0FINALFIX_DCA_SRVCHP-SRORC_R1233zdE_R1234yf_seed042_20260716T110657Z,
S0FINALFIX_DCA_SRVCHP-SRORC_R1233zdE_R290_seed042_20260716T110657Z,S0FINALFIX,DC-A,SRVCHP_SRORC,R1233zd(E),R290,42,FINISHED,0,3.111633062362671,${CBSIM_RUNS_ROOT}/S0_REMEDIATION/BATCH_S0FINALFIX_20260716T110657Z/runs/S0FINALFIX_DCA_SRVCHP-SRORC_R1233zdE_R290_seed042_20260716T110657Z,
S0FINALFIX_DCA_SBVCHP-SRORC_R1233zdE_R245fa_seed042_20260716T110657Z,S0FINALFIX,DC-A,SBVCHP_SRORC,R1233zd(E),R245fa,42,FINISHED,0,3.0740368366241455,${CBSIM_RUNS_ROOT}/S0_REMEDIATION/BATCH_S0FINALFIX_20260716T110657Z/runs/S0FINALFIX_DCA_SBVCHP-SRORC_R1233zdE_R245fa_seed042_20260716T110657Z,
S0FINALFIX_DCC_SBVCHP-SBORC_Acetone_R1234zeE_seed042_20260716T110657Z,S0FINALFIX,DC-C,SBVCHP_SBORC,Acetone,R1234ze(E),42,FINISHED,0,3.0759801864624023,${CBSIM_RUNS_ROOT}/S0_REMEDIATION/BATCH_S0FINALFIX_20260716T110657Z/runs/S0FINALFIX_DCC_SBVCHP-SBORC_Acetone_R1234zeE_seed042_20260716T110657Z,
