wp,cfg,fluid_hp,fluid_he,seed
DC-A,SBVCHP_SRORC,R1233zd(E),R1234yf,42
DC-A,SRVCHP_SBORC,R1233zd(E),R290,42
DC-A,SBVCHP_SBORC,R1233zd(E),R290,42
DC-A,SRVCHP_SRORC,R1233zd(E),R1234yf,42
DC-A,SRVCHP_SRORC,R1233zd(E),R290,42
DC-A,SBVCHP_SRORC,R1233zd(E),R290,42
DC-A,SBVCHP_SBORC,R1233zd(E),R600a,42
DC-A,SBVCHP_SRORC,R1233zd(E),R600a,42
DC-A,SBVCHP_SRORC,R1233zd(E),R245fa,42
DC-C,SBVCHP_SBORC,Acetone,R1234ze(E),42
DC-C,SBVCHP_SRORC,Acetone,R1234ze(E),42
DC-C,SRVCHP_SBORC,Acetone,R1234ze(E),42
DC-C,SBVCHP_SRORC,Acetone,R227EA,42
DC-C,SRVCHP_SRORC,Acetone,R1234ze(E),42
DC-C,SBVCHP_SBORC,Acetone,R227EA,42
