wp,cfg,fluid_hp,fluid_he,seed
DC-C,SBVCHP_SRORC,R1233zd(E),R134a,42
DC-C,SRVCHP_SRORC,R1233zd(E),R134a,42
DC-C,SBVCHP_SRORC,R245fa,R134a,42
DC-C,SRVCHP_SRORC,R245fa,R134a,42
DC-C,SBVCHP_SRORC,R600,R134a,42
DC-C,SRVCHP_SRORC,R600,R134a,42
DC-C,SRVCHP_SRORC,R601,R134a,42
DC-C,SBVCHP_SRORC,R1234ze(Z),R134a,42
DC-C,SRVCHP_SRORC,R1234ze(Z),R134a,42
DC-C,SRVCHP_SRORC,R365MFC,R134a,42
DC-C,SBVCHP_SRORC,Cyclopentane,R134a,42
DC-C,SRVCHP_SRORC,Cyclopentane,R134a,42
DC-C,SBVCHP_SRORC,Acetone,R134a,42
DC-D,SBVCHP_SRORC,R1233zd(E),R134a,42
DC-D,SRVCHP_SRORC,R1233zd(E),R134a,42
DC-D,SBVCHP_SRORC,R1233zd(E),R290,42
DC-D,SRVCHP_SRORC,R1233zd(E),R290,42
DC-D,SBVCHP_SRORC,R245fa,R134a,42
DC-D,SRVCHP_SRORC,R245fa,R134a,42
DC-D,SBVCHP_SRORC,R245fa,R290,42
DC-D,SRVCHP_SRORC,R245fa,R290,42
DC-D,SBVCHP_SRORC,R600,R134a,42
DC-D,SRVCHP_SRORC,R600,R134a,42
DC-D,SBVCHP_SRORC,R600,R290,42
DC-D,SRVCHP_SRORC,R600,R290,42
DC-D,SRVCHP_SRORC,R601,R134a,42
DC-D,SRVCHP_SRORC,R601,R290,42
DC-D,SRVCHP_SRORC,R601a,R134a,42
DC-D,SRVCHP_SRORC,R601a,R290,42
DC-D,SBVCHP_SRORC,R1234ze(Z),R134a,42
DC-D,SRVCHP_SRORC,R1234ze(Z),R134a,42
DC-D,SBVCHP_SRORC,R1234ze(Z),R290,42
DC-D,SRVCHP_SRORC,R1234ze(Z),R290,42
DC-D,SRVCHP_SRORC,R365MFC,R134a,42
DC-D,SRVCHP_SRORC,R365MFC,R290,42
DC-D,SBVCHP_SRORC,Cyclopentane,R134a,42
DC-D,SRVCHP_SRORC,Cyclopentane,R134a,42
DC-D,SBVCHP_SRORC,Cyclopentane,R290,42
DC-D,SRVCHP_SRORC,Cyclopentane,R290,42
DC-E,SBVCHP_SRORC,R1233zd(E),R134a,42
DC-E,SRVCHP_SRORC,R1233zd(E),R134a,42
DC-E,SBVCHP_SRORC,R1233zd(E),R152A,42
DC-E,SRVCHP_SRORC,R1233zd(E),R152A,42
DC-E,SRVCHP_SRORC,R601,R134a,42
DC-E,SRVCHP_SRORC,R601,R152A,42
DC-E,SRVCHP_SRORC,R601a,R134a,42
DC-E,SRVCHP_SRORC,R601a,R152A,42
DC-E,SRVCHP_SRORC,R365MFC,R134a,42
DC-E,SRVCHP_SRORC,R365MFC,R152A,42
DC-E,SBVCHP_SRORC,Cyclopentane,R134a,42
DC-E,SRVCHP_SRORC,Cyclopentane,R134a,42
DC-E,SBVCHP_SRORC,Cyclopentane,R152A,42
DC-E,SRVCHP_SRORC,Cyclopentane,R152A,42
DC-E,SBVCHP_SBORC,CycloHexane,R1234ze(E),42
DC-E,SBVCHP_SRORC,CycloHexane,R1234ze(E),42
DC-E,SRVCHP_SRORC,CycloHexane,R1234ze(E),42
DC-E,SRVCHP_SBORC,CycloHexane,R1234ze(E),42
DC-E,SBVCHP_SBORC,CycloHexane,R227EA,42
DC-E,SBVCHP_SRORC,CycloHexane,R227EA,42
DC-E,SRVCHP_SBORC,CycloHexane,R227EA,42
DC-E,SBVCHP_SBORC,CycloHexane,R134a,42
DC-E,SRVCHP_SRORC,CycloHexane,R227EA,42
DC-E,SBVCHP_SRORC,CycloHexane,R134a,42
DC-E,SRVCHP_SBORC,CycloHexane,R134a,42
DC-E,SRVCHP_SRORC,CycloHexane,R134a,42
DC-E,SBVCHP_SBORC,CycloHexane,R152A,42
DC-E,SRVCHP_SBORC,CycloHexane,R152A,42
DC-E,SBVCHP_SRORC,CycloHexane,R152A,42
DC-E,SRVCHP_SRORC,CycloHexane,R152A,42
DC-E,SBVCHP_SBORC,CycloHexane,R1234yf,42
DC-E,SBVCHP_SRORC,CycloHexane,R1234yf,42
DC-E,SRVCHP_SBORC,CycloHexane,R1234yf,42
DC-E,SRVCHP_SRORC,CycloHexane,R1234yf,42
DC-E,SBVCHP_SRORC,CycloHexane,R290,42
DC-E,SBVCHP_SBORC,CycloHexane,R290,42
DC-E,SRVCHP_SBORC,CycloHexane,R290,42
DC-E,SRVCHP_SRORC,CycloHexane,R290,42
DC-E,SBVCHP_SBORC,CycloHexane,R600a,42
DC-E,SBVCHP_SRORC,CycloHexane,R600a,42
DC-E,SRVCHP_SRORC,CycloHexane,R600a,42
DC-E,SRVCHP_SBORC,CycloHexane,R600a,42
DC-E,SBVCHP_SBORC,CycloHexane,R600,42
DC-E,SBVCHP_SRORC,CycloHexane,R600,42
DC-E,SRVCHP_SBORC,CycloHexane,R600,42
DC-E,SRVCHP_SRORC,CycloHexane,R600,42
DC-E,SBVCHP_SBORC,CycloHexane,R245fa,42
DC-E,SBVCHP_SRORC,CycloHexane,R245fa,42
DC-E,SRVCHP_SBORC,CycloHexane,R245fa,42
DC-E,SRVCHP_SRORC,CycloHexane,R245fa,42
DC-E,SBVCHP_SBORC,CycloHexane,R236ea,42
DC-E,SBVCHP_SRORC,CycloHexane,R236ea,42
DC-E,SRVCHP_SBORC,CycloHexane,R236ea,42
DC-E,SRVCHP_SRORC,CycloHexane,R236ea,42
DC-E,SBVCHP_SBORC,CycloHexane,R236fa,42
DC-E,SBVCHP_SRORC,CycloHexane,R236fa,42
DC-E,SRVCHP_SBORC,CycloHexane,R236fa,42
DC-E,SRVCHP_SRORC,CycloHexane,R236fa,42
DC-E,SBVCHP_SRORC,Acetone,R134a,42
DC-E,SBVCHP_SRORC,Acetone,R152A,42
DC-F,SBVCHP_SRORC,R1233zd(E),R134a,42
DC-F,SRVCHP_SRORC,R1233zd(E),R134a,42
DC-F,SRVCHP_SRORC,R601,R134a,42
DC-F,SRVCHP_SRORC,R601a,R134a,42
DC-F,SRVCHP_SRORC,R365MFC,R134a,42
DC-F,SBVCHP_SRORC,Cyclopentane,R134a,42
DC-F,SRVCHP_SRORC,Cyclopentane,R134a,42
DC-F,SRVCHP_SRORC,CycloHexane,R134a,42
DC-F,SBVCHP_SRORC,Acetone,R134a,42
DC-F,SRVCHP_SRORC,Acetone,R134a,42
