run_id,stage,wp,cfg,fluid_hp,fluid_he,seed,scheduler_status,exit_code,elapsed_s,run_dir,detail
S1_DCB_SBVCHP-SBORC_R1233zdE_R152A_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R1233zd(E),R152A,42,FINISHED,0,11.22476315498352,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R1233zdE_R152A_seed042_20260716T121618Z,
S1_DCB_SBVCHP-SBORC_R1233zdE_R134a_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R1233zd(E),R134a,42,FINISHED,0,16.488595247268677,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R1233zdE_R134a_seed042_20260716T121618Z,
S1_DCB_SBVCHP-SBORC_R1233zdE_R1234zeE_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R1233zd(E),R1234ze(E),42,FINISHED,0,17.546457290649414,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R1233zdE_R1234zeE_seed042_20260716T121618Z,
S1_DCB_SRVCHP-SRORC_R1233zdE_R152A_seed042_20260716T121618Z,S1,DC-B,SRVCHP_SRORC,R1233zd(E),R152A,42,FINISHED,0,20.068655490875244,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SRVCHP-SRORC_R1233zdE_R152A_seed042_20260716T121618Z,
S1_DCB_SBVCHP-SBORC_R1233zdE_R227EA_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R1233zd(E),R227EA,42,FINISHED,0,22.158259868621826,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R1233zdE_R227EA_seed042_20260716T121618Z,
S1_DCB_SRVCHP-SRORC_R1233zdE_R1234zeE_seed042_20260716T121618Z,S1,DC-B,SRVCHP_SRORC,R1233zd(E),R1234ze(E),42,FINISHED,0,24.38526153564453,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SRVCHP-SRORC_R1233zdE_R1234zeE_seed042_20260716T121618Z,
S1_DCB_SRVCHP-SRORC_R1233zdE_R134a_seed042_20260716T121618Z,S1,DC-B,SRVCHP_SRORC,R1233zd(E),R134a,42,FINISHED,0,28.961889028549194,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SRVCHP-SRORC_R1233zdE_R134a_seed042_20260716T121618Z,
S1_DCB_SBVCHP-SBORC_R1233zdE_R1234yf_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R1233zd(E),R1234yf,42,FINISHED,0,20.700112104415894,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R1233zdE_R1234yf_seed042_20260716T121618Z,
S1_DCB_SBVCHP-SBORC_R1233zdE_R600a_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R1233zd(E),R600a,42,FINISHED,0,11.850740432739258,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R1233zdE_R600a_seed042_20260716T121618Z,
S1_DCB_SBVCHP-SBORC_R1233zdE_R290_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R1233zd(E),R290,42,FINISHED,0,20.297134399414062,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R1233zdE_R290_seed042_20260716T121618Z,
