run_id,wp,cfg,fluid_hp,fluid_he,seed,sample_count,feasible_count,failure_count,feasible_rate
S1_DCB_SBVCHP-SBORC_R1233zdE_R152A_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R1233zd(E),R152A,42,256,37,219,0.14453125
S1_DCB_SBVCHP-SBORC_R1233zdE_R134a_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R1233zd(E),R134a,42,256,78,178,0.3046875
S1_DCB_SBVCHP-SBORC_R1233zdE_R1234zeE_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R1233zd(E),R1234ze(E),42,256,134,122,0.5234375
S1_DCB_SRVCHP-SRORC_R1233zdE_R152A_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R1233zd(E),R152A,42,256,0,256,0.0
S1_DCB_SBVCHP-SBORC_R1233zdE_R227EA_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R1233zd(E),R227EA,42,256,125,131,0.48828125
S1_DCB_SRVCHP-SRORC_R1233zdE_R1234zeE_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R1233zd(E),R1234ze(E),42,256,31,225,0.12109375
S1_DCB_SRVCHP-SRORC_R1233zdE_R134a_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R1233zd(E),R134a,42,256,0,256,0.0
S1_DCB_SBVCHP-SBORC_R1233zdE_R1234yf_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R1233zd(E),R1234yf,42,256,100,156,0.390625
S1_DCB_SBVCHP-SBORC_R1233zdE_R600a_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R1233zd(E),R600a,42,256,149,107,0.58203125
S1_DCB_SBVCHP-SBORC_R1233zdE_R290_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R1233zd(E),R290,42,256,66,190,0.2578125
S1_DCB_SRVCHP-SRORC_R1233zdE_R1234yf_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R1233zd(E),R1234yf,42,256,0,256,0.0
S1_DCB_SRVCHP-SRORC_R1233zdE_R290_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R1233zd(E),R290,42,256,0,256,0.0
S1_DCB_SBVCHP-SBORC_R1233zdE_R600_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R1233zd(E),R600,42,256,149,107,0.58203125
S1_DCB_SRVCHP-SRORC_R1233zdE_R227EA_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R1233zd(E),R227EA,42,256,63,193,0.24609375
S1_DCB_SRVCHP-SRORC_R1233zdE_R600a_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R1233zd(E),R600a,42,256,48,208,0.1875
S1_DCB_SBVCHP-SBORC_R1233zdE_R245fa_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R1233zd(E),R245fa,42,256,149,107,0.58203125
S1_DCB_SRVCHP-SRORC_R1233zdE_R600_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R1233zd(E),R600,42,256,62,194,0.2421875
S1_DCB_SBVCHP-SBORC_R1233zdE_R236ea_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R1233zd(E),R236ea,42,256,151,105,0.58984375
S1_DCB_SBVCHP-SBORC_R1233zdE_R236fa_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R1233zd(E),R236fa,42,256,152,104,0.59375
S1_DCB_SRVCHP-SRORC_R1233zdE_R245fa_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R1233zd(E),R245fa,42,256,59,197,0.23046875
S1_DCB_SBVCHP-SBORC_R1233zdE_R365MFC_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R1233zd(E),R365MFC,42,256,149,107,0.58203125
S1_DCB_SBVCHP-SBORC_R245fa_R1234zeE_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R245fa,R1234ze(E),42,256,110,146,0.4296875
S1_DCB_SRVCHP-SRORC_R1233zdE_R236ea_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R1233zd(E),R236ea,42,256,73,183,0.28515625
S1_DCB_SBVCHP-SBORC_R245fa_R227EA_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R245fa,R227EA,42,256,105,151,0.41015625
S1_DCB_SRVCHP-SRORC_R1233zdE_R365MFC_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R1233zd(E),R365MFC,42,256,76,180,0.296875
S1_DCB_SRVCHP-SRORC_R1233zdE_R236fa_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R1233zd(E),R236fa,42,256,63,193,0.24609375
S1_DCB_SRVCHP-SRORC_R245fa_R1234zeE_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R245fa,R1234ze(E),42,256,31,225,0.12109375
S1_DCB_SBVCHP-SBORC_R245fa_R134a_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R245fa,R134a,42,256,66,190,0.2578125
S1_DCB_SBVCHP-SBORC_R245fa_R152A_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R245fa,R152A,42,256,29,227,0.11328125
S1_DCB_SRVCHP-SRORC_R245fa_R152A_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R245fa,R152A,42,256,0,256,0.0
S1_DCB_SRVCHP-SRORC_R245fa_R134a_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R245fa,R134a,42,256,0,256,0.0
S1_DCB_SBVCHP-SBORC_R245fa_R600a_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R245fa,R600a,42,256,122,134,0.4765625
S1_DCB_SRVCHP-SRORC_R245fa_R290_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R245fa,R290,42,256,0,256,0.0
S1_DCB_SBVCHP-SBORC_R245fa_R1234yf_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R245fa,R1234yf,42,256,82,174,0.3203125
S1_DCB_SBVCHP-SBORC_R245fa_R290_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R245fa,R290,42,256,55,201,0.21484375
S1_DCB_SRVCHP-SRORC_R245fa_R227EA_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R245fa,R227EA,42,256,64,192,0.25
S1_DCB_SRVCHP-SRORC_R245fa_R1234yf_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R245fa,R1234yf,42,256,0,256,0.0
S1_DCB_SBVCHP-SBORC_R245fa_R600_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R245fa,R600,42,256,123,133,0.48046875
S1_DCB_SBVCHP-SBORC_R245fa_R245fa_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R245fa,R245fa,42,256,123,133,0.48046875
S1_DCB_SBVCHP-SBORC_R245fa_R236ea_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R245fa,R236ea,42,256,125,131,0.48828125
S1_DCB_SBVCHP-SBORC_R245fa_R236fa_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R245fa,R236fa,42,256,126,130,0.4921875
S1_DCB_SRVCHP-SRORC_R245fa_R600a_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R245fa,R600a,42,256,47,209,0.18359375
S1_DCB_SRVCHP-SRORC_R245fa_R245fa_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R245fa,R245fa,42,256,58,198,0.2265625
S1_DCB_SRVCHP-SRORC_R245fa_R600_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R245fa,R600,42,256,61,195,0.23828125
S1_DCB_SBVCHP-SBORC_R245fa_R365MFC_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R245fa,R365MFC,42,256,123,133,0.48046875
S1_DCB_SBVCHP-SBORC_R600_R1234zeE_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R600,R1234ze(E),42,256,108,148,0.421875
S1_DCB_SRVCHP-SRORC_R245fa_R236ea_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R245fa,R236ea,42,256,72,184,0.28125
S1_DCB_SBVCHP-SBORC_R600_R227EA_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R600,R227EA,42,256,103,153,0.40234375
S1_DCB_SBVCHP-SBORC_R600_R134a_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R600,R134a,42,256,64,192,0.25
S1_DCB_SRVCHP-SRORC_R600_R1234zeE_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R600,R1234ze(E),42,256,32,224,0.125
S1_DCB_SRVCHP-SRORC_R245fa_R236fa_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R245fa,R236fa,42,256,62,194,0.2421875
