run_id,stage,wp,cfg,fluid_hp,fluid_he,seed,scheduler_status,terminal_status,exit_code,elapsed_s,git_commit,git_dirty,config_sha256,start_time_utc,end_time_utc,evaluation_count,feasible_count,failure_count,pareto_size,completed_generations,stopping_reason,final_normalized_hypervolume,final_hv_relative_improvement,hv_converged,raw_archive_size,front_revalidation_solver_calls,revalidation_quarantined_count,run_dir,manifest_path,detail,canonical_source_batch,supersedes_run_id,supersedes_run_dir,accepted_for_s3,run_manifest_sha256,run_checksums_sha256
S2_DCA_SBVCHP-SBORC_Cyclopentane_R1234zeE_seed042_20260717T060425Z,S2,DC-A,SBVCHP_SBORC,Cyclopentane,R1234ze(E),42,FINISHED,COMPLETED,0,212.2938413619995,28632b8eecf359a056ddde69e35ae7338cf31be5,False,58316595e50d4ab2d69d17ea45335b5ce247feb742f7b2fedb72bb2959ea62b0,2026-07-17T06:15:05Z,2026-07-17T06:18:35Z,8112,7454,658,1149,185,hypervolume_converged,0.1006185640500296,0.0047267242903298,True,1149,2298,0,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCA_SBVCHP-SBORC_Cyclopentane_R1234zeE_seed042_20260717T060425Z,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCA_SBVCHP-SBORC_Cyclopentane_R1234zeE_seed042_20260717T060425Z/metadata/manifest.json,,BATCH_S2_20260717T060425Z,,,True,723735fa6eef9cf87bfc7afc036d76e5aa3efc14f5d939a0b31d6460bd3bf42a,ed2c6466d2c02f502293cd41c113000e8f72618957b7d822092968b60e7d8681
S2_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed042_20260717T060425Z,S2,DC-A,SBVCHP_SBORC,Cyclopentane,R227EA,42,FINISHED,COMPLETED,0,243.852653503418,28632b8eecf359a056ddde69e35ae7338cf31be5,False,58316595e50d4ab2d69d17ea45335b5ce247feb742f7b2fedb72bb2959ea62b0,2026-07-17T06:17:06Z,2026-07-17T06:21:08Z,8794,8018,776,1124,201,hypervolume_converged,0.0944187830338608,0.0041341979726669,True,1126,2252,2,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed042_20260717T060425Z,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed042_20260717T060425Z/metadata/manifest.json,,BATCH_S2_20260717T060425Z,,,True,7ae5a91c148d922d4659d3769df8218205a196aaf4fcb3335a9c28e3b01fac45,cf1649d4d36e749bfc72f640cd55444d16b0829b9b7a499accc23ecd1e440f4c
S2_DCA_SBVCHP-SBORC_Cyclopentane_R236ea_seed042_20260717T060425Z,S2,DC-A,SBVCHP_SBORC,Cyclopentane,R236ea,42,FINISHED,COMPLETED,0,179.2869999408722,28632b8eecf359a056ddde69e35ae7338cf31be5,False,58316595e50d4ab2d69d17ea45335b5ce247feb742f7b2fedb72bb2959ea62b0,2026-07-17T06:04:29Z,2026-07-17T06:07:26Z,7251,7027,224,966,163,hypervolume_converged,0.1061739027708587,0.0036775859590454,True,966,1932,0,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCA_SBVCHP-SBORC_Cyclopentane_R236ea_seed042_20260717T060425Z,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCA_SBVCHP-SBORC_Cyclopentane_R236ea_seed042_20260717T060425Z/metadata/manifest.json,,BATCH_S2_20260717T060425Z,,,True,7c80379021f8a11ef867a82c79c2479bd579fff163edb4e08f6fef7c6119a18d,92422c5e44c5f01af1b23e95cf08b32f7adbac7c0bd4f3a5cc1ed4ca691962a8
S2_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed042_20260717T060425Z,S2,DC-A,SBVCHP_SBORC,Cyclopentane,R236fa,42,FINISHED,COMPLETED,0,181.08423161506653,28632b8eecf359a056ddde69e35ae7338cf31be5,False,58316595e50d4ab2d69d17ea45335b5ce247feb742f7b2fedb72bb2959ea62b0,2026-07-17T06:04:29Z,2026-07-17T06:07:28Z,7084,6772,312,931,162,hypervolume_converged,0.1035287721718064,0.0042654827774359,True,931,1862,0,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed042_20260717T060425Z,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed042_20260717T060425Z/metadata/manifest.json,,BATCH_S2_20260717T060425Z,,,True,21061e57c5778fd836b4bacc059187792076e7fc04de10115dc29876efaed58c,c5e23eb7c010d4e88017b4d6a93cfdfaef008588dd10b1456ebcc614398baa1a
S2_DCA_SBVCHP-SBORC_Cyclopentane_R245fa_seed042_20260717T060425Z,S2,DC-A,SBVCHP_SBORC,Cyclopentane,R245fa,42,FINISHED,COMPLETED,0,170.82501864433289,28632b8eecf359a056ddde69e35ae7338cf31be5,False,58316595e50d4ab2d69d17ea45335b5ce247feb742f7b2fedb72bb2959ea62b0,2026-07-17T06:04:29Z,2026-07-17T06:07:18Z,6617,6442,175,1087,150,hypervolume_converged,0.1104219611405298,0.0037712982208983,True,1087,2174,0,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCA_SBVCHP-SBORC_Cyclopentane_R245fa_seed042_20260717T060425Z,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCA_SBVCHP-SBORC_Cyclopentane_R245fa_seed042_20260717T060425Z/metadata/manifest.json,,BATCH_S2_20260717T060425Z,,,True,ca62a5218def01804bdb3176a018e6571ec95594cbea0d145096878f3c96bbc6,1f251435b3da2feee3ce0d86df18d3075fc74f51f4ad434fcf846ffa6b478c98
S2_DCA_SBVCHP-SBORC_Cyclopentane_R600_seed042_20260717T060425Z,S2,DC-A,SBVCHP_SBORC,Cyclopentane,R600,42,FINISHED,COMPLETED,0,161.30420970916748,28632b8eecf359a056ddde69e35ae7338cf31be5,False,58316595e50d4ab2d69d17ea45335b5ce247feb742f7b2fedb72bb2959ea62b0,2026-07-17T06:04:29Z,2026-07-17T06:07:08Z,6577,6326,251,818,150,hypervolume_converged,0.1102862472784101,0.0043846118412969,True,818,1636,0,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCA_SBVCHP-SBORC_Cyclopentane_R600_seed042_20260717T060425Z,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCA_SBVCHP-SBORC_Cyclopentane_R600_seed042_20260717T060425Z/metadata/manifest.json,,BATCH_S2_20260717T060425Z,,,True,b6d4594808ae09dfc4e48669b3f454e4ae3ff635276a7d84f1aa7d848c6de0a4,2e6bd80a1fde39b4af88718d542a49da8b6b69d02dcd507f872f7e6ba4133fac
S2_DCA_SBVCHP-SBORC_Cyclopentane_R600a_seed042_20260717T060425Z,S2,DC-A,SBVCHP_SBORC,Cyclopentane,R600a,42,FINISHED,COMPLETED,0,182.74271297454837,28632b8eecf359a056ddde69e35ae7338cf31be5,False,58316595e50d4ab2d69d17ea45335b5ce247feb742f7b2fedb72bb2959ea62b0,2026-07-17T06:06:58Z,2026-07-17T06:09:59Z,6605,6392,213,1310,150,hypervolume_converged,0.1037268429093934,0.0034058185798488,True,1310,2620,0,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCA_SBVCHP-SBORC_Cyclopentane_R600a_seed042_20260717T060425Z,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCA_SBVCHP-SBORC_Cyclopentane_R600a_seed042_20260717T060425Z/metadata/manifest.json,,BATCH_S2_20260717T060425Z,,,True,685cf88d0bbfca7ddee4ccb31b6f236f1e2ef950b441f69b184936b28b11f56e,e6e74891ab65c02b4a51ededd5314100c5fcc8be0215a0760c62aec1d5f842c4
S2_DCA_SBVCHP-SBORC_R1233zdE_R1234zeE_seed042_20260717T060425Z,S2,DC-A,SBVCHP_SBORC,R1233zd(E),R1234ze(E),42,FINISHED,COMPLETED,0,205.236212015152,28632b8eecf359a056ddde69e35ae7338cf31be5,False,58316595e50d4ab2d69d17ea45335b5ce247feb742f7b2fedb72bb2959ea62b0,2026-07-17T06:17:43Z,2026-07-17T06:21:06Z,8170,7240,930,925,185,hypervolume_converged,0.08331357331299,0.0036538960258859,True,926,1852,1,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCA_SBVCHP-SBORC_R1233zdE_R1234zeE_seed042_20260717T060425Z,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCA_SBVCHP-SBORC_R1233zdE_R1234zeE_seed042_20260717T060425Z/metadata/manifest.json,,BATCH_S2_20260717T060425Z,,,True,cc72abe6f35224dec46759e04c3bd4dc318f684cff0e8dc5a468aa279818590a,9a75545f65d85c172ae3527183a6c1f56aa8fba882f5f9e33c9f8dbb5019c65d
S2_DCA_SBVCHP-SBORC_R1233zdE_R227EA_seed042_20260717T060425Z,S2,DC-A,SBVCHP_SBORC,R1233zd(E),R227EA,42,FINISHED,COMPLETED,0,191.36887407302856,28632b8eecf359a056ddde69e35ae7338cf31be5,False,58316595e50d4ab2d69d17ea45335b5ce247feb742f7b2fedb72bb2959ea62b0,2026-07-17T06:20:50Z,2026-07-17T06:23:59Z,6587,5716,871,749,151,hypervolume_converged,0.0807036477357797,0.0037404274242963,True,749,1498,0,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCA_SBVCHP-SBORC_R1233zdE_R227EA_seed042_20260717T060425Z,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCA_SBVCHP-SBORC_R1233zdE_R227EA_seed042_20260717T060425Z/metadata/manifest.json,,BATCH_S2_20260717T060425Z,,,True,5a243264b6dde5efd18acd59d533782bb369cb08ebfe94a7c5052ed3aa39d607,884abf9efdc55c5be428e3b08fc19b8bcb41671bd79021909e3d65bbf5d4ddba
S2_DCA_SBVCHP-SBORC_R1233zdE_R236ea_seed042_20260717T060425Z,S2,DC-A,SBVCHP_SBORC,R1233zd(E),R236ea,42,FINISHED,COMPLETED,0,165.54351997375488,28632b8eecf359a056ddde69e35ae7338cf31be5,False,58316595e50d4ab2d69d17ea45335b5ce247feb742f7b2fedb72bb2959ea62b0,2026-07-17T06:14:21Z,2026-07-17T06:17:04Z,6592,6034,558,872,150,hypervolume_converged,0.0858975594512712,0.0036344099152437,True,873,1746,1,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCA_SBVCHP-SBORC_R1233zdE_R236ea_seed042_20260717T060425Z,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCA_SBVCHP-SBORC_R1233zdE_R236ea_seed042_20260717T060425Z/metadata/manifest.json,,BATCH_S2_20260717T060425Z,,,True,8aa5e80d86225896b9525c19d44925cf450f28217413c28d51aff982e726c676,802e4ec5584bc93573adff3eeca580a4fc42c9cefa31a55ebd7b9479eb9a9ae1
