wp,cfg,fluid_hp,fluid_he,candidate_key,source_s2_run_id,front_contribution_rank,config_front_point_count,config_front_point_share,wp_global_front_point_count,candidate_normalized_hv,registry_final_normalized_hv_before_certification,manifest_certified_normalized_hv,certified_hv_recompute_difference,front_certification_hv_change,eta_p2p_max,energy_density_thermal_max,exergy_efficiency_max,eta_p2p_gap_to_unit_extreme,energy_density_thermal_gap_to_unit_extreme,exergy_efficiency_gap_to_unit_extreme,evaluation_count,feasible_count,failure_count,failure_rate,revalidation_quarantined_count,selected_for_s4,selection_rank,selected_reason
DC-A,SBVCHP_SBORC,Cyclopentane,R227EA,DC-A|SBVCHP_SBORC|Cyclopentane|R227EA,S2_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed042_20260717T060425Z,1,450,0.26423957721667646,329,0.0944187723238113,0.0944187830338608,0.0944187723238113,0.0,-1.0710049500040064e-08,0.5281221126320556,34.31931150863715,0.3270470700565408,0.03873508909329415,8.669655395721065e-05,0.04681543485440476,8794,8018,776,0.08824198317034342,2,True,5,greedy_incremental_hypervolume
DC-A,SBVCHP_SBORC,Cyclopentane,R600,DC-A|SBVCHP_SBORC|Cyclopentane|R600,S2_DCA_SBVCHP-SBORC_Cyclopentane_R600_seed042_20260717T060425Z,2,385,0.22607163828537874,0,0.11028624727840994,0.1102862472784101,0.11028624727840994,0.0,-1.6653345369377348e-16,0.5635878799080752,34.30799154846668,0.3730049024840246,0.003269321817274462,0.01140665672442509,0.0008576024269209559,6577,6326,251,0.03816329633571537,0,True,3,greedy_incremental_hypervolume
DC-A,SBVCHP_SBORC,Cyclopentane,R245fa,DC-A|SBVCHP_SBORC|Cyclopentane|R245fa,S2_DCA_SBVCHP-SBORC_Cyclopentane_R245fa_seed042_20260717T060425Z,3,373,0.2190252495596007,0,0.11042196114052959,0.1104219611405298,0.11042196114052963,-4.163336342344337e-17,-1.6653345369377348e-16,0.5668572017253497,34.30980004171612,0.3738625049109456,0.0,0.009598163474983323,0.0,6617,6442,175,0.02644703037630346,0,True,1,extreme_eta_p2p;extreme_exergy_efficiency
DC-A,SBVCHP_SBORC,R1233zd(E),R227EA,DC-A|SBVCHP_SBORC|R1233zd(E)|R227EA,S2_DCA_SBVCHP-SBORC_R1233zdE_R227EA_seed042_20260717T060425Z,4,171,0.10041103934233706,171,0.08070364773934281,0.0807036477357797,0.0807036477393428,1.3877787807814457e-17,3.563094264080746e-12,0.5081080949038481,34.319398205191106,0.3118751463418415,0.058749106821501584,0.0,0.06198735856910409,6587,5716,871,0.13223015029603766,0,True,2,extreme_energy_density_thermal
DC-A,SBVCHP_SBORC,Cyclopentane,R236fa,DC-A|SBVCHP_SBORC|Cyclopentane|R236fa,S2_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed042_20260717T060425Z,5,140,0.08220786846741045,1,0.10352877217180737,0.1035287721718064,0.10352877217180738,-1.3877787807814457e-17,9.853229343548264e-16,0.541192534141543,34.31482669172341,0.3531960465652566,0.0256646675838067,0.004571513467695354,0.020666458345688976,7084,6772,312,0.044042913608131,0,True,4,greedy_incremental_hypervolume
DC-A,SBVCHP_SBORC,Cyclopentane,R236ea,DC-A|SBVCHP_SBORC|Cyclopentane|R236ea,S2_DCA_SBVCHP-SBORC_Cyclopentane_R236ea_seed042_20260717T060425Z,6,93,0.0546095126247798,0,0.10617390277085817,0.1061739027708587,0.10617390277085817,0.0,-5.273559366969494e-16,0.5572589156948232,34.31370110467616,0.3606858189932679,0.009598286030526482,0.005697100514943543,0.013176685917677677,7251,7027,224,0.030892290718521582,0,False,,
DC-A,SBVCHP_SBORC,Cyclopentane,R600a,DC-A|SBVCHP_SBORC|Cyclopentane|R600a,S2_DCA_SBVCHP-SBORC_Cyclopentane_R600a_seed042_20260717T060425Z,7,64,0.037580739870816206,0,0.10372684290939384,0.1037268429093934,0.10372684290939378,5.551115123125783e-17,3.885780586188048e-16,0.5403705211386435,34.3102817958103,0.3582031551869595,0.026486680586706224,0.009116409380808932,0.015659349723986082,6605,6392,213,0.032248296744890236,0,False,,
DC-A,SBVCHP_SBORC,Cyclopentane,R1234ze(E),DC-A|SBVCHP_SBORC|Cyclopentane|R1234ze(E),S2_DCA_SBVCHP-SBORC_Cyclopentane_R1234zeE_seed042_20260717T060425Z,8,27,0.015854374633000587,0,0.10061856405002952,0.1006185640500296,0.10061856405002952,0.0,-8.326672684688674e-17,0.5472970219211668,34.31386548465662,0.3452488122931696,0.019560179804182898,0.005532720534489499,0.028613692617775965,8112,7454,658,0.08111439842209073,0,False,,
DC-A,SBVCHP_SBORC,R1234ze(Z),R600,DC-A|SBVCHP_SBORC|R1234ze(Z)|R600,S2_DCA_SBVCHP-SBORC_R1234zeZ_R600_seed042_20260717T060425Z,9,0,0.0,0,0.09597370984637231,0.095973709846372,0.0959737098463723,1.3877787807814457e-17,2.914335439641036e-16,0.5451462472913394,34.30959388841502,0.3480757478035887,0.021710954434010277,0.00980431677608351,0.025786757107356895,6669,6333,336,0.05038236617183985,0,False,,
DC-A,SBVCHP_SBORC,R1234ze(Z),R245fa,DC-A|SBVCHP_SBORC|R1234ze(Z)|R245fa,S2_DCA_SBVCHP-SBORC_R1234zeZ_R245fa_seed042_20260717T060425Z,10,0,0.0,0,0.09431299185470318,0.0943129918547036,0.09431299185470318,0.0,-4.163336342344337e-16,0.5310357966755421,34.307077470176964,0.3454606516080009,0.035821405049807575,0.01232073501414277,0.028401853302944702,6851,6676,175,0.02554371624580353,0,False,,
DC-A,SBVCHP_SBORC,R1234ze(Z),R236ea,DC-A|SBVCHP_SBORC|R1234ze(Z)|R236ea,S2_DCA_SBVCHP-SBORC_R1234zeZ_R236ea_seed042_20260717T060425Z,11,0,0.0,0,0.0934915401499724,0.093491540149972,0.09349154014997238,1.3877787807814457e-17,3.7470027081099033e-16,0.529967145766492,34.31398568059172,0.3397385957700396,0.03689005595885775,0.005412524599385904,0.03412390914090596,8592,8238,354,0.04120111731843575,0,False,,
DC-A,SBVCHP_SBORC,R1234ze(Z),R600a,DC-A|SBVCHP_SBORC|R1234ze(Z)|R600a,S2_DCA_SBVCHP-SBORC_R1234zeZ_R600a_seed042_20260717T060425Z,12,0,0.0,0,0.0929700931068717,0.0929700931068718,0.0929700931068717,0.0,-1.1102230246251565e-16,0.5353362009913826,34.311477426243655,0.3414298203011737,0.03152100073396713,0.007920778947450913,0.03243268460977189,9980,9596,384,0.03847695390781563,0,False,,
DC-A,SBVCHP_SBORC,R1233zd(E),R245fa,DC-A|SBVCHP_SBORC|R1233zd(E)|R245fa,S2_DCA_SBVCHP-SBORC_R1233zdE_R245fa_seed042_20260717T060425Z,13,0,0.0,0,0.09190828205874516,0.0919083582524452,0.09190828205874516,0.0,-7.619370004374737e-08,0.5413845870710101,34.30941330829423,0.3487539678983163,0.025472614654339587,0.009984896896874318,0.025108537012629273,6626,5784,842,0.12707515846664655,0,False,,
DC-A,SBVCHP_SBORC,R1234ze(Z),R236fa,DC-A|SBVCHP_SBORC|R1234ze(Z)|R236fa,S2_DCA_SBVCHP-SBORC_R1234zeZ_R236fa_seed042_20260717T060425Z,14,0,0.0,0,0.09051055422449157,0.0905105547927456,0.09051055422449159,-1.3877787807814457e-17,-5.682540132889713e-10,0.5351600623621949,34.314465409579185,0.3329007932189959,0.03169713936315477,0.004932795611921392,0.040961711691949676,10742,10307,435,0.040495252280767086,0,False,,
