wp,cfg,fluid_hp,fluid_he,selection_rank,objective,extreme_value,tied_owner_count,tied_candidate_keys,requires_s5_review,candidate_key,source_run_id
DC-A,SBVCHP_SBORC,R1233zd(E),R227EA,2,energy_density_thermal,34.319398205191106,1,DC-A|SBVCHP_SBORC|R1233zd(E)|R227EA,True,DC-A|SBVCHP_SBORC|R1233zd(E)|R227EA,S2_DCA_SBVCHP-SBORC_R1233zdE_R227EA_seed042_20260717T060425Z
DC-A,SBVCHP_SBORC,Cyclopentane,R245fa,1,eta_p2p,0.5668572017253497,1,DC-A|SBVCHP_SBORC|Cyclopentane|R245fa,True,DC-A|SBVCHP_SBORC|Cyclopentane|R245fa,S2_DCA_SBVCHP-SBORC_Cyclopentane_R245fa_seed042_20260717T060425Z
DC-A,SBVCHP_SBORC,Cyclopentane,R245fa,1,exergy_efficiency,0.3738625049109456,1,DC-A|SBVCHP_SBORC|Cyclopentane|R245fa,True,DC-A|SBVCHP_SBORC|Cyclopentane|R245fa,S2_DCA_SBVCHP-SBORC_Cyclopentane_R245fa_seed042_20260717T060425Z
DC-A,SRVCHP_SRORC,R245fa,R227EA,2,energy_density_thermal,34.12241599920379,1,DC-A|SRVCHP_SRORC|R245fa|R227EA,True,DC-A|SRVCHP_SRORC|R245fa|R227EA,S2_DCA_SRVCHP-SRORC_R245fa_R227EA_seed042_20260717T060425Z
DC-A,SRVCHP_SRORC,Cyclopentane,R245fa,1,eta_p2p,0.6006259100230852,1,DC-A|SRVCHP_SRORC|Cyclopentane|R245fa,True,DC-A|SRVCHP_SRORC|Cyclopentane|R245fa,S2_DCA_SRVCHP-SRORC_Cyclopentane_R245fa_seed042_20260717T060425Z
DC-A,SRVCHP_SRORC,Cyclopentane,R245fa,1,exergy_efficiency,0.4247587077813597,1,DC-A|SRVCHP_SRORC|Cyclopentane|R245fa,True,DC-A|SRVCHP_SRORC|Cyclopentane|R245fa,S2_DCA_SRVCHP-SRORC_Cyclopentane_R245fa_seed042_20260717T060425Z
DC-B,SBVCHP_SBORC,Cyclopentane,R227EA,1,energy_density_thermal,34.04871734903995,1,DC-B|SBVCHP_SBORC|Cyclopentane|R227EA,True,DC-B|SBVCHP_SBORC|Cyclopentane|R227EA,S2_DCB_SBVCHP-SBORC_Cyclopentane_R227EA_seed042_20260717T060425Z
DC-B,SBVCHP_SBORC,Cyclopentane,R245fa,3,eta_p2p,0.418013633297398,1,DC-B|SBVCHP_SBORC|Cyclopentane|R245fa,True,DC-B|SBVCHP_SBORC|Cyclopentane|R245fa,S2_DCB_SBVCHP-SBORC_Cyclopentane_R245fa_seed042_20260717T060425Z
DC-B,SBVCHP_SBORC,Cyclopentane,R365MFC,2,exergy_efficiency,0.3574493697556894,1,DC-B|SBVCHP_SBORC|Cyclopentane|R365MFC,True,DC-B|SBVCHP_SBORC|Cyclopentane|R365MFC,S2_DCB_SBVCHP-SBORC_Cyclopentane_R365MFC_seed042_20260717T060425Z
DC-B,SRVCHP_SRORC,R600,R227EA,2,energy_density_thermal,33.86644347241237,1,DC-B|SRVCHP_SRORC|R600|R227EA,True,DC-B|SRVCHP_SRORC|R600|R227EA,S2_DCB_SRVCHP-SRORC_R600_R227EA_seed042_20260717T060425Z
