wp,cfg,fluid_hp,fluid_he,source_s2_seed,source_s2_run_id,candidate_key,selection_rank,selected_reason,selected_union_hv_before_step,selection_incremental_hv,selected_union_hv_after_step,requires_s5_review,config_front_point_count,wp_global_front_point_count,candidate_normalized_hv
DC-A,SBVCHP_SBORC,Cyclopentane,R245fa,42,S2_DCA_SBVCHP-SBORC_Cyclopentane_R245fa_seed042_20260717T060425Z,DC-A|SBVCHP_SBORC|Cyclopentane|R245fa,1,extreme_eta_p2p;extreme_exergy_efficiency,0.0,0.11042196114052959,0.11042196114052959,True,373,0,0.11042196114052959
DC-A,SBVCHP_SBORC,R1233zd(E),R227EA,42,S2_DCA_SBVCHP-SBORC_R1233zdE_R227EA_seed042_20260717T060425Z,DC-A|SBVCHP_SBORC|R1233zd(E)|R227EA,2,extreme_energy_density_thermal,0.11042196114052959,5.4493736993385666e-05,0.11047645487752297,True,171,171,0.08070364773934281
DC-A,SBVCHP_SBORC,Cyclopentane,R600,42,S2_DCA_SBVCHP-SBORC_Cyclopentane_R600_seed042_20260717T060425Z,DC-A|SBVCHP_SBORC|Cyclopentane|R600,3,greedy_incremental_hypervolume,0.11047645487752297,0.0008904309390979637,0.11136688581662094,False,385,0,0.11028624727840994
DC-A,SBVCHP_SBORC,Cyclopentane,R236fa,42,S2_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed042_20260717T060425Z,DC-A|SBVCHP_SBORC|Cyclopentane|R236fa,4,greedy_incremental_hypervolume,0.11136688581662094,0.00014217474358661775,0.11150906056020755,False,140,1,0.10352877217180737
DC-A,SBVCHP_SBORC,Cyclopentane,R227EA,42,S2_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed042_20260717T060425Z,DC-A|SBVCHP_SBORC|Cyclopentane|R227EA,5,greedy_incremental_hypervolume,0.11150906056020755,6.543399234558434e-05,0.11157449455255314,False,450,329,0.0944187723238113
DC-A,SRVCHP_SRORC,Cyclopentane,R245fa,42,S2_DCA_SRVCHP-SRORC_Cyclopentane_R245fa_seed042_20260717T060425Z,DC-A|SRVCHP_SRORC|Cyclopentane|R245fa,1,extreme_eta_p2p;extreme_exergy_efficiency,0.0,0.14616884905035693,0.14616884905035693,True,549,549,0.14616884905035693
DC-A,SRVCHP_SRORC,R245fa,R227EA,42,S2_DCA_SRVCHP-SRORC_R245fa_R227EA_seed042_20260717T060425Z,DC-A|SRVCHP_SRORC|R245fa|R227EA,2,extreme_energy_density_thermal,0.14616884905035693,0.0006720322270238055,0.14684088127738074,True,172,125,0.1211452229643744
DC-A,SRVCHP_SRORC,Cyclopentane,R236ea,42,S2_DCA_SRVCHP-SRORC_Cyclopentane_R236ea_seed042_20260717T060425Z,DC-A|SRVCHP_SRORC|Cyclopentane|R236ea,3,greedy_incremental_hypervolume,0.14684088127738074,0.0005271930314896256,0.14736807430887036,False,382,382,0.14425600721559892
DC-A,SRVCHP_SRORC,R1233zd(E),R227EA,42,S2_DCA_SRVCHP-SRORC_R1233zdE_R227EA_seed042_20260717T060425Z,DC-A|SRVCHP_SRORC|R1233zd(E)|R227EA,4,greedy_incremental_hypervolume,0.14736807430887036,0.00013808533330850192,0.14750615964217886,False,309,245,0.11940623050341535
DC-A,SRVCHP_SRORC,R600,R236ea,42,S2_DCA_SRVCHP-SRORC_R600_R236ea_seed042_20260717T060425Z,DC-A|SRVCHP_SRORC|R600|R236ea,5,greedy_incremental_hypervolume,0.14750615964217886,7.926668121976954e-05,0.14758542632339863,False,105,105,0.13565341839132627
DC-B,SBVCHP_SBORC,Cyclopentane,R227EA,42,S2_DCB_SBVCHP-SBORC_Cyclopentane_R227EA_seed042_20260717T060425Z,DC-B|SBVCHP_SBORC|Cyclopentane|R227EA,1,extreme_energy_density_thermal,0.0,0.06307440526823115,0.06307440526823115,True,1046,854,0.06307440526823115
DC-B,SBVCHP_SBORC,Cyclopentane,R365MFC,42,S2_DCB_SBVCHP-SBORC_Cyclopentane_R365MFC_seed042_20260717T060425Z,DC-B|SBVCHP_SBORC|Cyclopentane|R365MFC,2,extreme_exergy_efficiency,0.06307440526823115,0.014365215537553058,0.0774396208057842,True,355,0,0.07543311586378698
DC-B,SBVCHP_SBORC,Cyclopentane,R245fa,42,S2_DCB_SBVCHP-SBORC_Cyclopentane_R245fa_seed042_20260717T060425Z,DC-B|SBVCHP_SBORC|Cyclopentane|R245fa,3,extreme_eta_p2p,0.0774396208057842,0.000273355033828776,0.07771297583961298,True,109,0,0.07427898016204884
DC-B,SBVCHP_SBORC,Cyclopentane,R236ea,42,S2_DCB_SBVCHP-SBORC_Cyclopentane_R236ea_seed042_20260717T060425Z,DC-B|SBVCHP_SBORC|Cyclopentane|R236ea,4,greedy_incremental_hypervolume,0.07771297583961298,3.05557060618078e-05,0.07774353154567479,False,28,0,0.07207591498790333
DC-B,SBVCHP_SBORC,Cyclopentane,R600,42,S2_DCB_SBVCHP-SBORC_Cyclopentane_R600_seed042_20260717T060425Z,DC-B|SBVCHP_SBORC|Cyclopentane|R600,5,greedy_incremental_hypervolume,0.07774353154567479,1.3928517987593647e-06,0.07774492439747355,False,52,0,0.07289636805998187
