wp,cfg,candidate_count,input_point_count,pooled_front_point_count,pooled_normalized_hv,selected_count,selected_union_normalized_hv,selected_to_pooled_hv_ratio
DC-A,SBVCHP_SBORC,26,25900,1703,0.11162872811046651,5,0.11157449455255314,0.9995141612841839
DC-A,SRVCHP_SRORC,22,20340,2397,0.14773256353558667,5,0.14758542632339863,0.9990040299263298
DC-B,SBVCHP_SBORC,30,22578,1605,0.07774530388797837,5,0.07774492439747355,0.9999951187983602
DC-B,SRVCHP_SRORC,30,27810,1978,0.10971192497135507,5,0.10965043594199074,0.9994395410582725
DC-C,SBVCHP_SBORC,26,34255,2658,0.1625717564526492,5,0.16254473371589045,0.9998337796346155
DC-C,SRVCHP_SRORC,21,24593,2876,0.19357798341109322,5,0.1930733603669425,0.9973931795586533
DC-D,SBVCHP_SBORC,30,30594,1820,0.116149001858834,5,0.11611322017558798,0.999691932925179
DC-D,SRVCHP_SRORC,30,35469,1896,0.14800605637953637,5,0.1477819710631106,0.9984859719804227
DC-E,SBVCHP_SBORC,24,30678,3516,0.19786338896062156,5,0.19713790108860504,0.9963333900433652
DC-E,SRVCHP_SRORC,19,24155,2807,0.22863738055179417,5,0.22771942676541693,0.9959851106404305
DC-F,SBVCHP_SBORC,30,39058,2475,0.1494182645310474,5,0.148653781103364,0.9948836012111186
DC-F,SRVCHP_SRORC,30,42169,2421,0.17180892253259233,5,0.17135169011130202,0.9973387155070275
