wp,cfg,fluid_hp,fluid_he,seed,run_id,run_dir,manifest_path,canonical_source,base_s4_run_id,supersedes_run_id,source_s2_run_id,s3_selection_rank,s3_selected_reason,requires_s5_review,git_commit,config_sha256,completed_generations,hv_converged,certified_normalized_hypervolume,evaluation_count,feasible_count,failure_count,raw_archive_size,pareto_size,front_revalidation_solver_calls,revalidation_quarantined_count,manifest_sha256,checksums_sha256,pareto_sha256
DC-A,SBVCHP_SBORC,Cyclopentane,R227EA,17,S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed017_20260720T095135Z,${CBSIM_RUNS_ROOT}/S4_FORMAL/BATCH_S4_20260720T095135Z/runs/S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed017_20260720T095135Z,${CBSIM_RUNS_ROOT}/S4_FORMAL/BATCH_S4_20260720T095135Z/runs/S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed017_20260720T095135Z/metadata/manifest.json,base,S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed017_20260720T095135Z,,S2_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed042_20260717T060425Z,5,greedy_incremental_hypervolume,False,36b2c8588490339ef136ec141f9a21089b52daf7,2452bed17143498748ed5fe2e446308e3f8f1c3e669d60cb35bb75c90938d88d,150,True,0.09613791227527262,13718,12659,1059,2232,2229,4464,3,b8d266cdf3d9a26fbdee62ab07592177b7c7d3b2bb570db004e9b36c571e561b,b663ade5c4488ba57d56e334b296d85a2640ff780daa2be3b785343c213a4f42,801b57cc3524123cf5d9cb79b8401a344b8a3adc119194dca631efc9da9e4d79
DC-A,SBVCHP_SBORC,Cyclopentane,R227EA,42,S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed042_20260720T095135Z,${CBSIM_RUNS_ROOT}/S4_FORMAL/BATCH_S4_20260720T095135Z/runs/S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed042_20260720T095135Z,${CBSIM_RUNS_ROOT}/S4_FORMAL/BATCH_S4_20260720T095135Z/runs/S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed042_20260720T095135Z/metadata/manifest.json,base,S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed042_20260720T095135Z,,S2_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed042_20260717T060425Z,5,greedy_incremental_hypervolume,False,36b2c8588490339ef136ec141f9a21089b52daf7,2452bed17143498748ed5fe2e446308e3f8f1c3e669d60cb35bb75c90938d88d,150,True,0.09671988990981276,13749,12705,1044,2398,2391,4796,7,b75c48f7461adb976ff0d151da36d2f1d3f1df9b3d8014742406d7c1d71754e9,8fab5ad19b541da23167116c2de620f8c3ebe0fe330ce2f2134abf640d2e672d,b2e64f21fda227a39fec2bd262f9dd45d20f86db600bf6052350cd6057ef3ff9
DC-A,SBVCHP_SBORC,Cyclopentane,R227EA,73,S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed073_20260720T095135Z,${CBSIM_RUNS_ROOT}/S4_FORMAL/BATCH_S4_20260720T095135Z/runs/S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed073_20260720T095135Z,${CBSIM_RUNS_ROOT}/S4_FORMAL/BATCH_S4_20260720T095135Z/runs/S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed073_20260720T095135Z/metadata/manifest.json,base,S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed073_20260720T095135Z,,S2_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed042_20260717T060425Z,5,greedy_incremental_hypervolume,False,36b2c8588490339ef136ec141f9a21089b52daf7,2452bed17143498748ed5fe2e446308e3f8f1c3e669d60cb35bb75c90938d88d,150,True,0.09638756630335198,13778,12558,1220,2196,2187,4392,9,0015fa737d42094585571406668d65f460ad898a467c5f1c0fe3ddf35fad6487,7e3bb42d238d6ada3e249ada68cd8195f760f53f0a124d9212cdb50a5232d6d3,a91bcae6ee05d83d7b3a949de9f004b87eae4a1aff79065ad3509c82081c5fde
DC-A,SBVCHP_SBORC,Cyclopentane,R227EA,101,S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed101_20260720T095135Z,${CBSIM_RUNS_ROOT}/S4_FORMAL/BATCH_S4_20260720T095135Z/runs/S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed101_20260720T095135Z,${CBSIM_RUNS_ROOT}/S4_FORMAL/BATCH_S4_20260720T095135Z/runs/S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed101_20260720T095135Z/metadata/manifest.json,base,S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed101_20260720T095135Z,,S2_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed042_20260717T060425Z,5,greedy_incremental_hypervolume,False,36b2c8588490339ef136ec141f9a21089b52daf7,2452bed17143498748ed5fe2e446308e3f8f1c3e669d60cb35bb75c90938d88d,150,True,0.09688403487349108,13738,12682,1056,2342,2336,4684,6,3c343462b589fe47b37c470067a2113438ced4bd67a33240e477ab62c18c9b64,1ec5d5e04601e8b9172d244110f5abfdf9dffdbcaf23712f58e4e62be52901b6,8ee57d692893215605e8d5bc6e64816484342acab689a4b165c43444f80d77d0
DC-A,SBVCHP_SBORC,Cyclopentane,R227EA,202,S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed202_20260721T031641Z,${CBSIM_RUNS_ROOT}/S4_EXTENSION/BATCH_S4_20260721T031641Z/runs/S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed202_20260721T031641Z,${CBSIM_RUNS_ROOT}/S4_EXTENSION/BATCH_S4_20260721T031641Z/runs/S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed202_20260721T031641Z/metadata/manifest.json,extension,S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed202_20260720T095135Z,S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed202_20260720T095135Z,S2_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed042_20260717T060425Z,5,greedy_incremental_hypervolume,False,d8afee5d5a587723cf3e45f1975c4b4b4a181c25,2452bed17143498748ed5fe2e446308e3f8f1c3e669d60cb35bb75c90938d88d,165,True,0.09623585709019421,15151,13847,1304,2406,2401,9254,5,53b3e7ed0ab631488cc63b3a784b409fb42cb3623957152c120e8ee7a41295fc,d8ebde5c51ffc7a09ac11df9d3270d007a43a3b2b148946b3492e212d40fe2f8,2ae0351758317852fdad01ea7b0bc719ed1ac1ab914ecb4af96e3b45975a85e5
DC-A,SBVCHP_SBORC,Cyclopentane,R236fa,17,S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed017_20260720T095135Z,${CBSIM_RUNS_ROOT}/S4_FORMAL/BATCH_S4_20260720T095135Z/runs/S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed017_20260720T095135Z,${CBSIM_RUNS_ROOT}/S4_FORMAL/BATCH_S4_20260720T095135Z/runs/S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed017_20260720T095135Z/metadata/manifest.json,base,S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed017_20260720T095135Z,,S2_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed042_20260717T060425Z,4,greedy_incremental_hypervolume,False,36b2c8588490339ef136ec141f9a21089b52daf7,2452bed17143498748ed5fe2e446308e3f8f1c3e669d60cb35bb75c90938d88d,150,True,0.10439328679917188,13709,13273,436,1994,1994,3988,0,ad8925c17f74d7d20a8db32dade5d6a60a7352e794b7bf43a842f553bfc6445f,0f77e24063c2cd786db7035643e4a6f9bf0579c92617bf6579d136205c152029,890b0479d03aefc319dce6abf46587ec8eea123a4b107f1c1ff1e0fbec2245fe
DC-A,SBVCHP_SBORC,Cyclopentane,R236fa,42,S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed042_20260720T095135Z,${CBSIM_RUNS_ROOT}/S4_FORMAL/BATCH_S4_20260720T095135Z/runs/S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed042_20260720T095135Z,${CBSIM_RUNS_ROOT}/S4_FORMAL/BATCH_S4_20260720T095135Z/runs/S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed042_20260720T095135Z/metadata/manifest.json,base,S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed042_20260720T095135Z,,S2_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed042_20260717T060425Z,4,greedy_incremental_hypervolume,False,36b2c8588490339ef136ec141f9a21089b52daf7,2452bed17143498748ed5fe2e446308e3f8f1c3e669d60cb35bb75c90938d88d,150,True,0.10388841686883327,13761,13212,549,3064,3064,6128,0,37b7ffa1ac6270488911b7fdbaa991bde12e36feb3d8916ea31e19c0d9839239,00819160eeea94df3d1c5c365bb66c748b69c668b501aee2b5e58a4f2c36e523,f7ab32514057960bbc242892118f754d09139d3b5ae1a8d47d202e33c1776881
DC-A,SBVCHP_SBORC,Cyclopentane,R236fa,73,S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed073_20260720T095135Z,${CBSIM_RUNS_ROOT}/S4_FORMAL/BATCH_S4_20260720T095135Z/runs/S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed073_20260720T095135Z,${CBSIM_RUNS_ROOT}/S4_FORMAL/BATCH_S4_20260720T095135Z/runs/S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed073_20260720T095135Z/metadata/manifest.json,base,S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed073_20260720T095135Z,,S2_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed042_20260717T060425Z,4,greedy_incremental_hypervolume,False,36b2c8588490339ef136ec141f9a21089b52daf7,2452bed17143498748ed5fe2e446308e3f8f1c3e669d60cb35bb75c90938d88d,150,True,0.10514230002889548,13640,13146,494,1975,1975,3950,0,51b6b21b148017f7d60b09d2bfa807fa3ca02deea3d4cb0bef36187594c7ce3a,6a3d40645957330f24fb440b71c664cea2585935e167bb30e1e01119db1c567b,4c72cae0c3813a5a607b81d216d4c0d6f8eb102de0d9527756010646b3bede55
DC-A,SBVCHP_SBORC,Cyclopentane,R236fa,101,S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed101_20260720T095135Z,${CBSIM_RUNS_ROOT}/S4_FORMAL/BATCH_S4_20260720T095135Z/runs/S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed101_20260720T095135Z,${CBSIM_RUNS_ROOT}/S4_FORMAL/BATCH_S4_20260720T095135Z/runs/S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed101_20260720T095135Z/metadata/manifest.json,base,S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed101_20260720T095135Z,,S2_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed042_20260717T060425Z,4,greedy_incremental_hypervolume,False,36b2c8588490339ef136ec141f9a21089b52daf7,2452bed17143498748ed5fe2e446308e3f8f1c3e669d60cb35bb75c90938d88d,150,True,0.10543018912082192,13672,13161,511,2433,2433,4866,0,3bec900c57ebfa1fcc4958c59f3d4138704b09fcf68ef289fe7cbe399c4cdf71,f906c1fec7ddfb967d6fe9808635f0bb51da22bb2a5fa6999744df994e645311,e4a4a9c4375ffd447011efc8ddbd65fdf83378ab5897fb05199f5003e9008dcd
DC-A,SBVCHP_SBORC,Cyclopentane,R236fa,202,S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed202_20260720T095135Z,${CBSIM_RUNS_ROOT}/S4_FORMAL/BATCH_S4_20260720T095135Z/runs/S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed202_20260720T095135Z,${CBSIM_RUNS_ROOT}/S4_FORMAL/BATCH_S4_20260720T095135Z/runs/S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed202_20260720T095135Z/metadata/manifest.json,base,S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed202_20260720T095135Z,,S2_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed042_20260717T060425Z,4,greedy_incremental_hypervolume,False,36b2c8588490339ef136ec141f9a21089b52daf7,2452bed17143498748ed5fe2e446308e3f8f1c3e669d60cb35bb75c90938d88d,150,True,0.10468792091257594,13865,13347,518,2650,2650,5300,0,31b302e1a0185113cf74902a562e5415f46c7c4f630ae03a3eb8b6e626eb94a0,ef913787b1e547a360677a2c1d33a2ebd11f95697288c6ce85dcea3a70fce8de,84891219077230301b13f9fc45772f7e6c7908c030ecd6503afa5f17901a09fe
