wp,cfg,fluid_hp,fluid_he,seed,hv_rank_within_wp_seed,top_rank
DC-A,SRVCHP_SRORC,Cyclopentane,R245fa,17,1,True
DC-A,SRVCHP_SRORC,Cyclopentane,R236ea,17,2,True
DC-A,SRVCHP_SRORC,R600,R236ea,17,3,True
DC-A,SRVCHP_SRORC,R245fa,R227EA,17,4,False
DC-A,SRVCHP_SRORC,R1233zd(E),R227EA,17,5,False
DC-A,SBVCHP_SBORC,Cyclopentane,R245fa,17,6,False
DC-A,SBVCHP_SBORC,Cyclopentane,R600,17,7,False
DC-A,SBVCHP_SBORC,Cyclopentane,R236fa,17,8,False
DC-A,SBVCHP_SBORC,Cyclopentane,R227EA,17,9,False
DC-A,SBVCHP_SBORC,R1233zd(E),R227EA,17,10,False
DC-A,SRVCHP_SRORC,Cyclopentane,R245fa,42,1,True
DC-A,SRVCHP_SRORC,Cyclopentane,R236ea,42,2,True
DC-A,SRVCHP_SRORC,R600,R236ea,42,3,True
DC-A,SRVCHP_SRORC,R1233zd(E),R227EA,42,4,False
DC-A,SRVCHP_SRORC,R245fa,R227EA,42,5,False
DC-A,SBVCHP_SBORC,Cyclopentane,R245fa,42,6,False
DC-A,SBVCHP_SBORC,Cyclopentane,R600,42,7,False
DC-A,SBVCHP_SBORC,Cyclopentane,R236fa,42,8,False
DC-A,SBVCHP_SBORC,Cyclopentane,R227EA,42,9,False
DC-A,SBVCHP_SBORC,R1233zd(E),R227EA,42,10,False
DC-A,SRVCHP_SRORC,Cyclopentane,R245fa,73,1,True
DC-A,SRVCHP_SRORC,Cyclopentane,R236ea,73,2,True
DC-A,SRVCHP_SRORC,R600,R236ea,73,3,True
DC-A,SRVCHP_SRORC,R1233zd(E),R227EA,73,4,False
DC-A,SRVCHP_SRORC,R245fa,R227EA,73,5,False
DC-A,SBVCHP_SBORC,Cyclopentane,R245fa,73,6,False
DC-A,SBVCHP_SBORC,Cyclopentane,R600,73,7,False
DC-A,SBVCHP_SBORC,Cyclopentane,R236fa,73,8,False
DC-A,SBVCHP_SBORC,Cyclopentane,R227EA,73,9,False
DC-A,SBVCHP_SBORC,R1233zd(E),R227EA,73,10,False
DC-A,SRVCHP_SRORC,Cyclopentane,R245fa,101,1,True
DC-A,SRVCHP_SRORC,Cyclopentane,R236ea,101,2,True
DC-A,SRVCHP_SRORC,R600,R236ea,101,3,True
DC-A,SRVCHP_SRORC,R1233zd(E),R227EA,101,4,False
DC-A,SRVCHP_SRORC,R245fa,R227EA,101,5,False
DC-A,SBVCHP_SBORC,Cyclopentane,R245fa,101,6,False
DC-A,SBVCHP_SBORC,Cyclopentane,R600,101,7,False
DC-A,SBVCHP_SBORC,Cyclopentane,R236fa,101,8,False
DC-A,SBVCHP_SBORC,Cyclopentane,R227EA,101,9,False
DC-A,SBVCHP_SBORC,R1233zd(E),R227EA,101,10,False
DC-A,SRVCHP_SRORC,Cyclopentane,R245fa,202,1,True
DC-A,SRVCHP_SRORC,Cyclopentane,R236ea,202,2,True
DC-A,SRVCHP_SRORC,R600,R236ea,202,3,True
DC-A,SRVCHP_SRORC,R1233zd(E),R227EA,202,4,False
