wp,cfg,fluid_hp,fluid_he,seed,run_id,certified_normalized_hypervolume,eta_p2p_maximum,energy_density_thermal_maximum,exergy_efficiency_maximum,igd_plus_to_union
DC-A,SBVCHP_SBORC,Cyclopentane,R227EA,17,S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed017_20260720T095135Z,0.09613791227527262,0.5351008766599551,34.32073216981931,0.3290818077246906,0.0019001785808519273
DC-A,SBVCHP_SBORC,Cyclopentane,R227EA,42,S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed042_20260720T095135Z,0.09671988990981276,0.5255934235113008,34.32014609159972,0.32961662421319,0.00103106953669645
DC-A,SBVCHP_SBORC,Cyclopentane,R227EA,73,S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed073_20260720T095135Z,0.09638756630335198,0.5308225140101219,34.32035904733149,0.3291696604667142,0.0019859774318874974
DC-A,SBVCHP_SBORC,Cyclopentane,R227EA,101,S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed101_20260720T095135Z,0.09688403487349105,0.5322290966693596,34.32013275252441,0.329631219267372,0.0014964461298619303
DC-A,SBVCHP_SBORC,Cyclopentane,R227EA,202,S4_DCA_SBVCHP-SBORC_Cyclopentane_R227EA_seed202_20260721T031641Z,0.0962358570901942,0.531064473372867,34.32053475272023,0.3291734933893638,0.0018933441279073396
DC-A,SBVCHP_SBORC,Cyclopentane,R236fa,17,S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed017_20260720T095135Z,0.10439328679917186,0.5538731325935864,34.31399038860151,0.3523982667020668,0.002418246965662115
DC-A,SBVCHP_SBORC,Cyclopentane,R236fa,42,S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed042_20260720T095135Z,0.10388841686883327,0.548182836319058,34.31513529432715,0.3520416377523784,0.0018939206252640958
DC-A,SBVCHP_SBORC,Cyclopentane,R236fa,73,S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed073_20260720T095135Z,0.10514230002889544,0.5530106978989254,34.3141766065342,0.354084656968402,0.0019956403132650753
DC-A,SBVCHP_SBORC,Cyclopentane,R236fa,101,S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed101_20260720T095135Z,0.10543018912082193,0.5540606655521761,34.31506915509458,0.3529900420461828,0.0010131597677998819
DC-A,SBVCHP_SBORC,Cyclopentane,R236fa,202,S4_DCA_SBVCHP-SBORC_Cyclopentane_R236fa_seed202_20260720T095135Z,0.10468792091257594,0.5500959108306652,34.31494414370232,0.3521663892733755,0.001309593140276448
DC-A,SBVCHP_SBORC,Cyclopentane,R245fa,17,S4_DCA_SBVCHP-SBORC_Cyclopentane_R245fa_seed017_20260720T095135Z,0.111240832010836,0.5662530642943739,34.31033149480829,0.3718319009021611,0.002951568167152411
DC-A,SBVCHP_SBORC,Cyclopentane,R245fa,42,S4_DCA_SBVCHP-SBORC_Cyclopentane_R245fa_seed042_20260721T031641Z,0.11176010392554094,0.5676224418198385,34.309896583555165,0.3736610184203047,0.002007534948403418
