representative_id,repeat,wp,representative_type,balance,relative_residual,residual
S5_DCA_compromise,1,DC-A,compromise,he_energy,0.0,0.0
S5_DCA_compromise,1,DC-A,compromise,he_exergy_state_identity,0.0,0.0
S5_DCA_compromise,1,DC-A,compromise,hp_energy,0.0,0.0
S5_DCA_compromise,1,DC-A,compromise,hp_exergy_state_identity,0.0,0.0
S5_DCA_compromise,2,DC-A,compromise,he_energy,0.0,0.0
S5_DCA_compromise,2,DC-A,compromise,he_exergy_state_identity,0.0,0.0
S5_DCA_compromise,2,DC-A,compromise,hp_energy,0.0,0.0
S5_DCA_compromise,2,DC-A,compromise,hp_exergy_state_identity,0.0,0.0
S5_DCA_density,1,DC-A,density,he_energy,0.0,0.0
S5_DCA_density,1,DC-A,density,he_exergy_state_identity,8.687556203230183e-17,3.637978807091713e-12
S5_DCA_density,1,DC-A,density,hp_energy,0.0,0.0
S5_DCA_density,1,DC-A,density,hp_exergy_state_identity,0.0,0.0
S5_DCA_density,2,DC-A,density,he_energy,0.0,0.0
S5_DCA_density,2,DC-A,density,he_exergy_state_identity,8.687556203230183e-17,3.637978807091713e-12
S5_DCA_density,2,DC-A,density,hp_energy,0.0,0.0
S5_DCA_density,2,DC-A,density,hp_exergy_state_identity,0.0,0.0
S5_DCA_efficiency,1,DC-A,efficiency,he_energy,0.0,0.0
S5_DCA_efficiency,1,DC-A,efficiency,he_exergy_state_identity,0.0,0.0
S5_DCA_efficiency,1,DC-A,efficiency,hp_energy,0.0,0.0
S5_DCA_efficiency,1,DC-A,efficiency,hp_exergy_state_identity,0.0,0.0
S5_DCA_efficiency,2,DC-A,efficiency,he_energy,0.0,0.0
S5_DCA_efficiency,2,DC-A,efficiency,he_exergy_state_identity,0.0,0.0
S5_DCA_efficiency,2,DC-A,efficiency,hp_energy,0.0,0.0
S5_DCA_efficiency,2,DC-A,efficiency,hp_exergy_state_identity,0.0,0.0
S5_DCB_compromise,1,DC-B,compromise,he_energy,0.0,0.0
S5_DCB_compromise,1,DC-B,compromise,he_exergy_state_identity,8.54735575147129e-17,3.637978807091713e-12
S5_DCB_compromise,1,DC-B,compromise,hp_energy,0.0,0.0
S5_DCB_compromise,1,DC-B,compromise,hp_exergy_state_identity,0.0,0.0
S5_DCB_compromise,2,DC-B,compromise,he_energy,0.0,0.0
S5_DCB_compromise,2,DC-B,compromise,he_exergy_state_identity,8.54735575147129e-17,3.637978807091713e-12
S5_DCB_compromise,2,DC-B,compromise,hp_energy,0.0,0.0
S5_DCB_compromise,2,DC-B,compromise,hp_exergy_state_identity,0.0,0.0
S5_DCB_density,1,DC-B,density,he_energy,0.0,0.0
S5_DCB_density,1,DC-B,density,he_exergy_state_identity,0.0,0.0
S5_DCB_density,1,DC-B,density,hp_energy,7.859160347922059e-17,5.820766091346741e-11
S5_DCB_density,1,DC-B,density,hp_exergy_state_identity,0.0,0.0
S5_DCB_density,2,DC-B,density,he_energy,0.0,0.0
S5_DCB_density,2,DC-B,density,he_exergy_state_identity,0.0,0.0
S5_DCB_density,2,DC-B,density,hp_energy,7.859160347922059e-17,5.820766091346741e-11
S5_DCB_density,2,DC-B,density,hp_exergy_state_identity,0.0,0.0
S5_DCB_efficiency,1,DC-B,efficiency,he_energy,0.0,0.0
S5_DCB_efficiency,1,DC-B,efficiency,he_exergy_state_identity,0.0,0.0
S5_DCB_efficiency,1,DC-B,efficiency,hp_energy,6.379188993438089e-17,-5.820766091346741e-11
S5_DCB_efficiency,1,DC-B,efficiency,hp_exergy_state_identity,0.0,0.0
S5_DCB_efficiency,2,DC-B,efficiency,he_energy,0.0,0.0
S5_DCB_efficiency,2,DC-B,efficiency,he_exergy_state_identity,0.0,0.0
S5_DCB_efficiency,2,DC-B,efficiency,hp_energy,6.379188993438089e-17,-5.820766091346741e-11
S5_DCB_efficiency,2,DC-B,efficiency,hp_exergy_state_identity,0.0,0.0
S5_DCC_compromise,1,DC-C,compromise,he_energy,0.0,0.0
S5_DCC_compromise,1,DC-C,compromise,he_exergy_state_identity,0.0,0.0
S5_DCC_compromise,1,DC-C,compromise,hp_energy,0.0,0.0
S5_DCC_compromise,1,DC-C,compromise,hp_exergy_state_identity,0.0,0.0
S5_DCC_compromise,2,DC-C,compromise,he_energy,0.0,0.0
S5_DCC_compromise,2,DC-C,compromise,he_exergy_state_identity,0.0,0.0
S5_DCC_compromise,2,DC-C,compromise,hp_energy,0.0,0.0
S5_DCC_compromise,2,DC-C,compromise,hp_exergy_state_identity,0.0,0.0
S5_DCC_density,1,DC-C,density,he_energy,0.0,0.0
S5_DCC_density,1,DC-C,density,he_exergy_state_identity,0.0,0.0
S5_DCC_density,1,DC-C,density,hp_energy,0.0,0.0
S5_DCC_density,1,DC-C,density,hp_exergy_state_identity,0.0,0.0
S5_DCC_density,2,DC-C,density,he_energy,0.0,0.0
S5_DCC_density,2,DC-C,density,he_exergy_state_identity,0.0,0.0
S5_DCC_density,2,DC-C,density,hp_energy,0.0,0.0
S5_DCC_density,2,DC-C,density,hp_exergy_state_identity,0.0,0.0
S5_DCC_efficiency,1,DC-C,efficiency,he_energy,0.0,0.0
S5_DCC_efficiency,1,DC-C,efficiency,he_exergy_state_identity,0.0,0.0
S5_DCC_efficiency,1,DC-C,efficiency,hp_energy,0.0,0.0
S5_DCC_efficiency,1,DC-C,efficiency,hp_exergy_state_identity,0.0,0.0
S5_DCC_efficiency,2,DC-C,efficiency,he_energy,0.0,0.0
S5_DCC_efficiency,2,DC-C,efficiency,he_exergy_state_identity,0.0,0.0
S5_DCC_efficiency,2,DC-C,efficiency,hp_energy,0.0,0.0
S5_DCC_efficiency,2,DC-C,efficiency,hp_exergy_state_identity,0.0,0.0
S5_DCD_compromise,1,DC-D,compromise,he_energy,8.429894496851087e-17,-2.9103830456733704e-11
S5_DCD_compromise,1,DC-D,compromise,he_exergy_state_identity,6.261705683656153e-17,3.637978807091713e-12
S5_DCD_compromise,1,DC-D,compromise,hp_energy,0.0,0.0
S5_DCD_compromise,1,DC-D,compromise,hp_exergy_state_identity,0.0,0.0
S5_DCD_compromise,2,DC-D,compromise,he_energy,8.429894496851087e-17,-2.9103830456733704e-11
S5_DCD_compromise,2,DC-D,compromise,he_exergy_state_identity,6.261705683656153e-17,3.637978807091713e-12
S5_DCD_compromise,2,DC-D,compromise,hp_energy,0.0,0.0
S5_DCD_compromise,2,DC-D,compromise,hp_exergy_state_identity,0.0,0.0
S5_DCD_density,1,DC-D,density,he_energy,0.0,0.0
S5_DCD_density,1,DC-D,density,he_exergy_state_identity,0.0,0.0
S5_DCD_density,1,DC-D,density,hp_energy,0.0,0.0
S5_DCD_density,1,DC-D,density,hp_exergy_state_identity,0.0,0.0
S5_DCD_density,2,DC-D,density,he_energy,0.0,0.0
S5_DCD_density,2,DC-D,density,he_exergy_state_identity,0.0,0.0
S5_DCD_density,2,DC-D,density,hp_energy,0.0,0.0
S5_DCD_density,2,DC-D,density,hp_exergy_state_identity,0.0,0.0
S5_DCD_efficiency,1,DC-D,efficiency,he_energy,6.327068271967833e-17,-2.9103830456733704e-11
S5_DCD_efficiency,1,DC-D,efficiency,he_exergy_state_identity,0.0,0.0
S5_DCD_efficiency,1,DC-D,efficiency,hp_energy,6.698758486955658e-17,-5.820766091346741e-11
S5_DCD_efficiency,1,DC-D,efficiency,hp_exergy_state_identity,0.0,0.0
S5_DCD_efficiency,2,DC-D,efficiency,he_energy,6.327068271967833e-17,-2.9103830456733704e-11
S5_DCD_efficiency,2,DC-D,efficiency,he_exergy_state_identity,0.0,0.0
S5_DCD_efficiency,2,DC-D,efficiency,hp_energy,6.698758486955658e-17,-5.820766091346741e-11
S5_DCD_efficiency,2,DC-D,efficiency,hp_exergy_state_identity,0.0,0.0
S5_DCE_compromise,1,DC-E,compromise,he_energy,0.0,0.0
S5_DCE_compromise,1,DC-E,compromise,he_exergy_state_identity,0.0,0.0
S5_DCE_compromise,1,DC-E,compromise,hp_energy,0.0,0.0
S5_DCE_compromise,1,DC-E,compromise,hp_exergy_state_identity,0.0,0.0
S5_DCE_compromise,2,DC-E,compromise,he_energy,0.0,0.0
S5_DCE_compromise,2,DC-E,compromise,he_exergy_state_identity,0.0,0.0
S5_DCE_compromise,2,DC-E,compromise,hp_energy,0.0,0.0
S5_DCE_compromise,2,DC-E,compromise,hp_exergy_state_identity,0.0,0.0
S5_DCE_density,1,DC-E,density,he_energy,0.0,0.0
S5_DCE_density,1,DC-E,density,he_exergy_state_identity,0.0,0.0
S5_DCE_density,1,DC-E,density,hp_energy,1.057488632541723e-16,-1.1641532182693481e-10
S5_DCE_density,1,DC-E,density,hp_exergy_state_identity,0.0,0.0
S5_DCE_density,2,DC-E,density,he_energy,0.0,0.0
S5_DCE_density,2,DC-E,density,he_exergy_state_identity,0.0,0.0
S5_DCE_density,2,DC-E,density,hp_energy,1.057488632541723e-16,-1.1641532182693481e-10
S5_DCE_density,2,DC-E,density,hp_exergy_state_identity,0.0,0.0
