representative_id,wp,representative_type,cfg,fluid_hp,fluid_he,source_run_id,accepted_s4_manifest_sha256,gate_decision_bounds,gate_energy_conservation,gate_exergy_consistency,gate_kpi,gate_phase,gate_pinch_strict,gate_pressure,gate_solver,gate_solver_residuals,gate_state_points,repeat_consistent,status,repeat_statuses,evidence_paths
S5_DCA_compromise,DC-A,compromise,SRVCHP_SRORC,Cyclopentane,R236ea,S4_DCA_SRVCHP-SRORC_Cyclopentane_R236ea_seed101_20260720T095135Z,dc342d2111ec0f192f41b8694b65f265e4782ffb4d894f0dbacaeb8186ad5cdb,True,True,True,True,True,True,True,True,True,True,True,PASS,PASS;PASS,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCA_compromise_r01.json;${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCA_compromise_r02.json
S5_DCA_density,DC-A,density,SRVCHP_SRORC,R600,R236ea,S4_DCA_SRVCHP-SRORC_R600_R236ea_seed042_20260720T095135Z,dc342d2111ec0f192f41b8694b65f265e4782ffb4d894f0dbacaeb8186ad5cdb,True,True,True,True,True,True,True,True,True,True,True,PASS,PASS;PASS,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCA_density_r01.json;${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCA_density_r02.json
S5_DCA_efficiency,DC-A,efficiency,SRVCHP_SRORC,Cyclopentane,R245fa,S4_DCA_SRVCHP-SRORC_Cyclopentane_R245fa_seed042_20260720T095135Z,dc342d2111ec0f192f41b8694b65f265e4782ffb4d894f0dbacaeb8186ad5cdb,True,True,True,True,True,True,True,True,True,True,True,PASS,PASS;PASS,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCA_efficiency_r01.json;${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCA_efficiency_r02.json
S5_DCB_compromise,DC-B,compromise,SRVCHP_SRORC,R601a,R227EA,S4_DCB_SRVCHP-SRORC_R601a_R227EA_seed017_20260720T095135Z,dc342d2111ec0f192f41b8694b65f265e4782ffb4d894f0dbacaeb8186ad5cdb,True,True,True,True,True,True,True,True,True,True,True,PASS,PASS;PASS,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCB_compromise_r01.json;${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCB_compromise_r02.json
S5_DCB_density,DC-B,density,SRVCHP_SRORC,R601a,R227EA,S4_DCB_SRVCHP-SRORC_R601a_R227EA_seed017_20260720T095135Z,dc342d2111ec0f192f41b8694b65f265e4782ffb4d894f0dbacaeb8186ad5cdb,True,True,True,True,True,True,True,True,True,True,True,PASS,PASS;PASS,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCB_density_r01.json;${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCB_density_r02.json
S5_DCB_efficiency,DC-B,efficiency,SRVCHP_SRORC,Cyclopentane,R365MFC,S4_DCB_SRVCHP-SRORC_Cyclopentane_R365MFC_seed202_20260720T095135Z,dc342d2111ec0f192f41b8694b65f265e4782ffb4d894f0dbacaeb8186ad5cdb,True,True,True,True,True,True,True,True,True,True,True,PASS,PASS;PASS,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCB_efficiency_r01.json;${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCB_efficiency_r02.json
S5_DCC_compromise,DC-C,compromise,SRVCHP_SRORC,Cyclopentane,R236ea,S4_DCC_SRVCHP-SRORC_Cyclopentane_R236ea_seed073_20260720T095135Z,dc342d2111ec0f192f41b8694b65f265e4782ffb4d894f0dbacaeb8186ad5cdb,True,True,True,True,True,True,True,True,True,True,True,PASS,PASS;PASS,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCC_compromise_r01.json;${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCC_compromise_r02.json
S5_DCC_density,DC-C,density,SRVCHP_SRORC,Cyclopentane,R236ea,S4_DCC_SRVCHP-SRORC_Cyclopentane_R236ea_seed073_20260720T095135Z,dc342d2111ec0f192f41b8694b65f265e4782ffb4d894f0dbacaeb8186ad5cdb,True,True,True,True,True,True,True,True,True,True,True,PASS,PASS;PASS,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCC_density_r01.json;${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCC_density_r02.json
S5_DCC_efficiency,DC-C,efficiency,SRVCHP_SRORC,Cyclopentane,R236ea,S4_DCC_SRVCHP-SRORC_Cyclopentane_R236ea_seed017_20260720T095135Z,dc342d2111ec0f192f41b8694b65f265e4782ffb4d894f0dbacaeb8186ad5cdb,True,True,True,True,True,True,True,True,True,True,True,PASS,PASS;PASS,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCC_efficiency_r01.json;${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCC_efficiency_r02.json
S5_DCD_compromise,DC-D,compromise,SRVCHP_SRORC,Acetone,R236ea,S4_DCD_SRVCHP-SRORC_Acetone_R236ea_seed017_20260720T095135Z,dc342d2111ec0f192f41b8694b65f265e4782ffb4d894f0dbacaeb8186ad5cdb,True,True,True,True,True,True,True,True,True,True,True,PASS,PASS;PASS,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCD_compromise_r01.json;${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCD_compromise_r02.json
S5_DCD_density,DC-D,density,SRVCHP_SRORC,Acetone,R236ea,S4_DCD_SRVCHP-SRORC_Acetone_R236ea_seed042_20260720T095135Z,dc342d2111ec0f192f41b8694b65f265e4782ffb4d894f0dbacaeb8186ad5cdb,True,True,True,True,True,True,True,True,True,True,True,PASS,PASS;PASS,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCD_density_r01.json;${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCD_density_r02.json
S5_DCD_efficiency,DC-D,efficiency,SRVCHP_SRORC,Cyclopentane,R365MFC,S4_DCD_SRVCHP-SRORC_Cyclopentane_R365MFC_seed073_20260720T095135Z,dc342d2111ec0f192f41b8694b65f265e4782ffb4d894f0dbacaeb8186ad5cdb,True,True,True,True,True,True,True,True,True,True,True,PASS,PASS;PASS,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCD_efficiency_r01.json;${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCD_efficiency_r02.json
S5_DCE_compromise,DC-E,compromise,SRVCHP_SRORC,Acetone,R236ea,S4_DCE_SRVCHP-SRORC_Acetone_R236ea_seed042_20260720T095135Z,dc342d2111ec0f192f41b8694b65f265e4782ffb4d894f0dbacaeb8186ad5cdb,True,True,True,True,True,True,True,True,True,True,True,PASS,PASS;PASS,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCE_compromise_r01.json;${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCE_compromise_r02.json
S5_DCE_density,DC-E,density,SRVCHP_SRORC,Acetone,R236ea,S4_DCE_SRVCHP-SRORC_Acetone_R236ea_seed101_20260720T095135Z,dc342d2111ec0f192f41b8694b65f265e4782ffb4d894f0dbacaeb8186ad5cdb,True,True,True,True,True,True,True,True,True,True,True,PASS,PASS;PASS,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCE_density_r01.json;${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCE_density_r02.json
S5_DCE_efficiency,DC-E,efficiency,SRVCHP_SRORC,Cyclopentane,R245fa,S4_DCE_SRVCHP-SRORC_Cyclopentane_R245fa_seed042_20260720T095135Z,dc342d2111ec0f192f41b8694b65f265e4782ffb4d894f0dbacaeb8186ad5cdb,True,True,True,True,True,True,True,True,True,True,True,PASS,PASS;PASS,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCE_efficiency_r01.json;${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCE_efficiency_r02.json
S5_DCF_compromise,DC-F,compromise,SRVCHP_SRORC,Acetone,R236ea,S4_DCF_SRVCHP-SRORC_Acetone_R236ea_seed017_20260720T095135Z,dc342d2111ec0f192f41b8694b65f265e4782ffb4d894f0dbacaeb8186ad5cdb,True,True,True,True,True,True,True,True,True,True,True,PASS,PASS;PASS,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCF_compromise_r01.json;${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCF_compromise_r02.json
S5_DCF_density,DC-F,density,SRVCHP_SRORC,Cyclopentane,R365MFC,S4_DCF_SRVCHP-SRORC_Cyclopentane_R365MFC_seed017_20260720T095135Z,dc342d2111ec0f192f41b8694b65f265e4782ffb4d894f0dbacaeb8186ad5cdb,True,True,True,True,True,True,True,True,True,True,True,PASS,PASS;PASS,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCF_density_r01.json;${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCF_density_r02.json
S5_DCF_efficiency,DC-F,efficiency,SRVCHP_SRORC,Acetone,R365MFC,S4_DCF_SRVCHP-SRORC_Acetone_R365MFC_seed017_20260720T095135Z,dc342d2111ec0f192f41b8694b65f265e4782ffb4d894f0dbacaeb8186ad5cdb,True,True,True,True,True,True,True,True,True,True,True,PASS,PASS;PASS,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCF_efficiency_r01.json;${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCF_efficiency_r02.json
