representative_id,repeat,wp,representative_type,status,worker_exit_code,wall_elapsed_s,evidence_path,log_path,gates_json
S5_DCA_compromise,1,DC-A,compromise,PASS,0,2.498535607010126,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCA_compromise_r01.json,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/logs/S5_DCA_compromise_r01.log,"{""decision_bounds"": true, ""energy_conservation"": true, ""exergy_consistency"": true, ""kpi"": true, ""phase"": true, ""pinch_strict"": true, ""pressure"": true, ""solver"": true, ""solver_residuals"": true, ""state_points"": true}"
S5_DCA_compromise,2,DC-A,compromise,PASS,0,2.256173707995913,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCA_compromise_r02.json,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/logs/S5_DCA_compromise_r02.log,"{""decision_bounds"": true, ""energy_conservation"": true, ""exergy_consistency"": true, ""kpi"": true, ""phase"": true, ""pinch_strict"": true, ""pressure"": true, ""solver"": true, ""solver_residuals"": true, ""state_points"": true}"
S5_DCA_density,1,DC-A,density,PASS,0,2.2596724670002004,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCA_density_r01.json,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/logs/S5_DCA_density_r01.log,"{""decision_bounds"": true, ""energy_conservation"": true, ""exergy_consistency"": true, ""kpi"": true, ""phase"": true, ""pinch_strict"": true, ""pressure"": true, ""solver"": true, ""solver_residuals"": true, ""state_points"": true}"
S5_DCA_density,2,DC-A,density,PASS,0,2.233490304002771,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCA_density_r02.json,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/logs/S5_DCA_density_r02.log,"{""decision_bounds"": true, ""energy_conservation"": true, ""exergy_consistency"": true, ""kpi"": true, ""phase"": true, ""pinch_strict"": true, ""pressure"": true, ""solver"": true, ""solver_residuals"": true, ""state_points"": true}"
S5_DCA_efficiency,1,DC-A,efficiency,PASS,0,2.3829235909943236,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCA_efficiency_r01.json,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/logs/S5_DCA_efficiency_r01.log,"{""decision_bounds"": true, ""energy_conservation"": true, ""exergy_consistency"": true, ""kpi"": true, ""phase"": true, ""pinch_strict"": true, ""pressure"": true, ""solver"": true, ""solver_residuals"": true, ""state_points"": true}"
S5_DCA_efficiency,2,DC-A,efficiency,PASS,0,2.3331721919967094,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCA_efficiency_r02.json,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/logs/S5_DCA_efficiency_r02.log,"{""decision_bounds"": true, ""energy_conservation"": true, ""exergy_consistency"": true, ""kpi"": true, ""phase"": true, ""pinch_strict"": true, ""pressure"": true, ""solver"": true, ""solver_residuals"": true, ""state_points"": true}"
S5_DCB_compromise,1,DC-B,compromise,PASS,0,2.282815031998325,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCB_compromise_r01.json,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/logs/S5_DCB_compromise_r01.log,"{""decision_bounds"": true, ""energy_conservation"": true, ""exergy_consistency"": true, ""kpi"": true, ""phase"": true, ""pinch_strict"": true, ""pressure"": true, ""solver"": true, ""solver_residuals"": true, ""state_points"": true}"
S5_DCB_compromise,2,DC-B,compromise,PASS,0,2.204900053999154,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCB_compromise_r02.json,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/logs/S5_DCB_compromise_r02.log,"{""decision_bounds"": true, ""energy_conservation"": true, ""exergy_consistency"": true, ""kpi"": true, ""phase"": true, ""pinch_strict"": true, ""pressure"": true, ""solver"": true, ""solver_residuals"": true, ""state_points"": true}"
S5_DCB_density,1,DC-B,density,PASS,0,2.251709957010462,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCB_density_r01.json,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/logs/S5_DCB_density_r01.log,"{""decision_bounds"": true, ""energy_conservation"": true, ""exergy_consistency"": true, ""kpi"": true, ""phase"": true, ""pinch_strict"": true, ""pressure"": true, ""solver"": true, ""solver_residuals"": true, ""state_points"": true}"
S5_DCB_density,2,DC-B,density,PASS,0,2.329872709000483,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/evidence/S5_DCB_density_r02.json,${CBSIM_RUNS_ROOT}/S5_FORMAL/S5_20260721T102425Z/logs/S5_DCB_density_r02.log,"{""decision_bounds"": true, ""energy_conservation"": true, ""exergy_consistency"": true, ""kpi"": true, ""phase"": true, ""pinch_strict"": true, ""pressure"": true, ""solver"": true, ""solver_residuals"": true, ""state_points"": true}"
