representative_id,repeat,wp,representative_type,component,density_kg_m3,enthalpy_J_kg,entropy_J_kgK,fluid,phase,pressure_Pa,quality,state,temperature_K
S5_DCA_compromise,1,DC-A,compromise,HP,1.1016017152596957,364211.58750720014,1238.5405554878369,Cyclopentane,gas,38593.795309336005,-1.0,1,300.45769082095416
S5_DCA_compromise,1,DC-A,compromise,HP,11.168399261235928,572035.1449665104,1496.8510358453166,Cyclopentane,gas,542604.476594981,-1.0,2,441.26925981818675
S5_DCA_compromise,1,DC-A,compromise,HP,663.6780581630837,98271.23953525496,282.09693315593546,Cyclopentane,liquid,542604.476594981,-1.0,3,369.85893754463655
S5_DCA_compromise,1,DC-A,compromise,HP,6.2135363901180884,23427.321561072386,86.67487379369474,Cyclopentane,twophase,38593.795309336005,0.17899135828047325,4,295.81637666388673
S5_DCA_compromise,1,DC-A,compromise,HE,1452.0288083946748,220867.64078812036,1073.9019609981478,R236ea,liquid,171500.78176702617,-1.0,1,290.00655425577867
S5_DCA_compromise,1,DC-A,compromise,HE,1453.104894559009,222036.05931141073,1075.7257893127482,R236ea,liquid,1099427.98121822,-1.0,2,290.74986360453266
S5_DCA_compromise,1,DC-A,compromise,HE,71.91086077146475,429959.97630855633,1683.3330707720384,R236ea,gas,1099427.98121822,-1.0,3,360.0278327476853
S5_DCA_compromise,1,DC-A,compromise,HE,10.441129643425738,402950.85305924015,1692.908594160488,R236ea,gas,171500.78176702617,-1.0,4,315.41867855211376
S5_DCA_compromise,2,DC-A,compromise,HP,1.1016017152596957,364211.58750720014,1238.5405554878369,Cyclopentane,gas,38593.795309336005,-1.0,1,300.45769082095416
S5_DCA_compromise,2,DC-A,compromise,HP,11.168399261235928,572035.1449665104,1496.8510358453166,Cyclopentane,gas,542604.476594981,-1.0,2,441.26925981818675
S5_DCA_compromise,2,DC-A,compromise,HP,663.6780581630837,98271.23953525496,282.09693315593546,Cyclopentane,liquid,542604.476594981,-1.0,3,369.85893754463655
S5_DCA_compromise,2,DC-A,compromise,HP,6.2135363901180884,23427.321561072386,86.67487379369474,Cyclopentane,twophase,38593.795309336005,0.17899135828047325,4,295.81637666388673
S5_DCA_compromise,2,DC-A,compromise,HE,1452.0288083946748,220867.64078812036,1073.9019609981478,R236ea,liquid,171500.78176702617,-1.0,1,290.00655425577867
S5_DCA_compromise,2,DC-A,compromise,HE,1453.104894559009,222036.05931141073,1075.7257893127482,R236ea,liquid,1099427.98121822,-1.0,2,290.74986360453266
S5_DCA_compromise,2,DC-A,compromise,HE,71.91086077146475,429959.97630855633,1683.3330707720384,R236ea,gas,1099427.98121822,-1.0,3,360.0278327476853
