wp,cfg,fluid_hp,fluid_he,union_front_size,thermodynamic_status,p2_engineering_gate,p2_reason
DC-A,SRVCHP_SRORC,Cyclopentane,R236ea,6461,S4_RECOMMENDABLE,REJECT,missing_standard_safety_class:R236ea
DC-A,SRVCHP_SRORC,Cyclopentane,R245fa,6062,S4_RECOMMENDABLE,CONDITIONAL,engineering_controls_and_site_specific_evidence_required
DC-A,SRVCHP_SRORC,R600,R236ea,5811,S4_RECOMMENDABLE,REJECT,missing_standard_safety_class:R236ea
DC-B,SRVCHP_SRORC,Cyclopentane,R236ea,6002,S4_RECOMMENDABLE,REJECT,missing_standard_safety_class:R236ea
DC-B,SRVCHP_SRORC,Cyclopentane,R365MFC,5774,S4_RECOMMENDABLE,REJECT,missing_standard_safety_class:R365MFC
DC-B,SRVCHP_SRORC,R601a,R227EA,2071,S4_RECOMMENDABLE,CONDITIONAL,engineering_controls_and_site_specific_evidence_required
DC-C,SRVCHP_SRORC,Cyclopentane,R236ea,7643,S4_RECOMMENDABLE,REJECT,missing_standard_safety_class:R236ea
DC-C,SRVCHP_SRORC,Cyclopentane,R600,7515,S4_RECOMMENDABLE,CONDITIONAL,engineering_controls_and_site_specific_evidence_required
DC-D,SRVCHP_SRORC,Acetone,R236ea,7056,S4_RECOMMENDABLE,REJECT,missing_standard_safety_class:R236ea
DC-D,SRVCHP_SRORC,Acetone,R365MFC,8020,S4_RECOMMENDABLE,REJECT,missing_standard_safety_class:R365MFC
DC-D,SRVCHP_SRORC,Cyclopentane,R365MFC,7154,S4_RECOMMENDABLE,REJECT,missing_standard_safety_class:R365MFC
DC-E,SRVCHP_SRORC,Acetone,R236ea,7643,S4_RECOMMENDABLE,REJECT,missing_standard_safety_class:R236ea
DC-E,SRVCHP_SRORC,Cyclopentane,R245fa,8644,S4_RECOMMENDABLE,CONDITIONAL,engineering_controls_and_site_specific_evidence_required
DC-E,SRVCHP_SRORC,R601a,R600,6510,S4_RECOMMENDABLE,CONDITIONAL,engineering_controls_and_site_specific_evidence_required
DC-F,SRVCHP_SRORC,Acetone,R236ea,8112,S4_RECOMMENDABLE,REJECT,missing_standard_safety_class:R236ea
DC-F,SRVCHP_SRORC,Acetone,R365MFC,8014,S4_RECOMMENDABLE,REJECT,missing_standard_safety_class:R365MFC
DC-F,SRVCHP_SRORC,Cyclopentane,R365MFC,8408,S4_RECOMMENDABLE,REJECT,missing_standard_safety_class:R365MFC
