representative_id,wp,representative_type,fluid_hp,fluid_he,s5_status,minimum_pressure_bar,solver_fallback,p2_engineering_gate,p2_reason,risk_flags
S5_DCA_compromise,DC-A,compromise,Cyclopentane,R236ea,PASS,0.385938,False,REJECT,missing_standard_safety_class:R236ea,below_standard_atmosphere;below_0.5_bar
S5_DCA_density,DC-A,density,R600,R236ea,PASS,1.723941,True,REJECT,missing_standard_safety_class:R236ea,solver_fallback_observed
S5_DCA_efficiency,DC-A,efficiency,Cyclopentane,R245fa,PASS,0.457692,False,CONDITIONAL,engineering_controls_and_site_specific_evidence_required,below_standard_atmosphere;below_0.5_bar
S5_DCB_compromise,DC-B,compromise,R601a,R227EA,PASS,1.097755,True,CONDITIONAL,engineering_controls_and_site_specific_evidence_required,solver_fallback_observed
S5_DCB_density,DC-B,density,R601a,R227EA,PASS,1.112515,True,CONDITIONAL,engineering_controls_and_site_specific_evidence_required,solver_fallback_observed
S5_DCB_efficiency,DC-B,efficiency,Cyclopentane,R365MFC,PASS,0.553748,False,REJECT,missing_standard_safety_class:R365MFC,below_standard_atmosphere
S5_DCC_compromise,DC-C,compromise,Cyclopentane,R236ea,PASS,0.575776,False,REJECT,missing_standard_safety_class:R236ea,below_standard_atmosphere
S5_DCC_density,DC-C,density,Cyclopentane,R236ea,PASS,0.671622,True,REJECT,missing_standard_safety_class:R236ea,below_standard_atmosphere;solver_fallback_observed
S5_DCC_efficiency,DC-C,efficiency,Cyclopentane,R236ea,PASS,0.793278,False,REJECT,missing_standard_safety_class:R236ea,below_standard_atmosphere
S5_DCD_compromise,DC-D,compromise,Acetone,R236ea,PASS,0.59032,False,REJECT,missing_standard_safety_class:R236ea,below_standard_atmosphere
S5_DCD_density,DC-D,density,Acetone,R236ea,PASS,0.450417,True,REJECT,missing_standard_safety_class:R236ea,below_standard_atmosphere;below_0.5_bar;solver_fallback_observed
S5_DCD_efficiency,DC-D,efficiency,Cyclopentane,R365MFC,PASS,0.940144,False,REJECT,missing_standard_safety_class:R365MFC,below_standard_atmosphere
S5_DCE_compromise,DC-E,compromise,Acetone,R236ea,PASS,0.648526,False,REJECT,missing_standard_safety_class:R236ea,below_standard_atmosphere
S5_DCE_density,DC-E,density,Acetone,R236ea,PASS,1.035144,True,REJECT,missing_standard_safety_class:R236ea,solver_fallback_observed
S5_DCE_efficiency,DC-E,efficiency,Cyclopentane,R245fa,PASS,1.228897,False,CONDITIONAL,engineering_controls_and_site_specific_evidence_required,
S5_DCF_compromise,DC-F,compromise,Acetone,R236ea,PASS,0.951983,False,REJECT,missing_standard_safety_class:R236ea,below_standard_atmosphere
S5_DCF_density,DC-F,density,Cyclopentane,R365MFC,PASS,1.006225,False,REJECT,missing_standard_safety_class:R365MFC,below_standard_atmosphere
S5_DCF_efficiency,DC-F,efficiency,Acetone,R365MFC,PASS,1.003314,False,REJECT,missing_standard_safety_class:R365MFC,below_standard_atmosphere
