    ITER   EVALS
       0       0
       1      10
       2      20
       3      28
       4      38
       5      48
       6      56
       7      66
       8      76
       9      86
      10      94
      11     100
      12     110
      13     120
      14     130
      15     140
      16     150
      17     160
      18     170
      19     177
      20     187
      21     197
      22     205
      23     215
      24     223
      25     233
      26     243
      27     253
      28     263
      29     273
