    ITER   EVALS
       0       0
       1     100
       2     194
       3     283
       4     373
       5     468
       6     564
       7     654
       8     749
       9     844
      10     938
      11    1027
      12    1114
      13    1211
      14    1301
      15    1398
      16    1486
      17    1573
      18    1670
      19    1759
      20    1850
      21    1945
      22    2031
      23    2115
      24    2204
      25    2294
      26    2392
      27    2485
      28    2578
      29    2671
      30    2759
      31    2852
      32    2944
      33    3031
      34    3125
      35    3214
      36    3307
      37    3394
      38    3476
      39    3559
      40    3657
      41    3748
      42    3843
      43    3931
      44    4020
      45    4109
      46    4198
      47    4288
      48    4384
      49    4477
      50    4565
      51    4654
      52    4752
      53    4839
      54    4931
      55    5023
      56    5112
      57    5193
      58    5283
      59    5379
      60    5472
      61    5563
      62    5655
      63    5747
      64    5838
      65    5929
      66    6023
      67    6110
      68    6195
