    ITER   EVALS
       0       0
       1     100
       2     194
       3     291
       4     379
       5     476
       6     570
       7     656
       8     751
       9     842
      10     938
      11    1028
      12    1122
      13    1211
      14    1305
      15    1395
      16    1486
      17    1579
      18    1674
      19    1765
      20    1863
      21    1953
      22    2045
      23    2139
      24    2228
      25    2323
      26    2409
      27    2502
      28    2588
      29    2684
      30    2781
      31    2875
      32    2969
      33    3065
      34    3156
      35    3255
      36    3347
      37    3436
      38    3531
      39    3618
      40    3706
      41    3800
      42    3892
      43    3983
      44    4075
      45    4165
      46    4252
      47    4344
      48    4440
      49    4531
      50    4626
      51    4717
      52    4805
      53    4886
      54    4973
      55    5063
      56    5159
      57    5250
      58    5341
      59    5431
      60    5521
      61    5616
      62    5712
      63    5800
      64    5884
      65    5972
      66    6064
