wp,config,fluid_hp,fluid_he,file,eta_p2p,energy_density_thermal,exergy_efficiency,T_st_ht,dT_st_sp,T_st_lt,cop_hp,eta_he,energy_density_electric,storage_volume
DC-A,SBVCHP_SBORC,R1233zd(E),R227ea,pareto_DC-A_SBVCHP_SBORC_R1233zd(E)_R227ea.csv,0.010040449590714344,34.320234543128805,0.006318279361661718,81.3650638081566,59.99997911502098,,,,,
DC-A,SBVCHP_SBORC,R600,R227ea,pareto_DC-A_SBVCHP_SBORC_R600_R227ea.csv,0.01184012203268727,34.31923500797391,0.005979910212119491,81.44268376429847,59.99999784475345,,,,,
DC-A,SBVCHP_SBORC,R245fa,R227ea,pareto_DC-A_SBVCHP_SBORC_R245fa_R227ea.csv,0.028076191374390602,34.30937444434851,0.021709149754113678,82.19206686839338,59.99985597328111,,,,,
DC-A,SBVCHP_SBORC,R600,R227ea,pareto_DC-A_SBVCHP_SBORC_R600_R227ea.csv,0.03750310767100704,34.30681316247192,0.02751046057128121,82.39150976028792,59.999941028902015,,,,,
DC-A,SBVCHP_SBORC,R600,R227ea,pareto_DC-A_SBVCHP_SBORC_R600_R227ea.csv,0.05008282664942923,34.299680521421564,0.036471470165140345,82.9373790993137,59.99998978707741,,,,,
DC-A,SBVCHP_SBORC,R600,R227ea,pareto_DC-A_SBVCHP_SBORC_R600_R227ea.csv,0.059959061802104745,34.29578748556851,0.033173709926035765,83.22968299525124,59.9999053827468,,,,,
DC-A,SBVCHP_SBORC,R245fa,R227ea,pareto_DC-A_SBVCHP_SBORC_R245fa_R227ea.csv,0.0782834046219053,34.28590820547721,0.05212071217689171,83.97791525165066,59.999894816676196,,,,,
DC-A,SBVCHP_SBORC,R1233zd(E),R227ea,pareto_DC-A_SBVCHP_SBORC_R1233zd(E)_R227ea.csv,0.08851488180612008,34.28432923899243,0.04617008631881962,84.0991986977555,59.99993967716117,,,,,
DC-A,SBVCHP_SBORC,R245fa,R227ea,pareto_DC-A_SBVCHP_SBORC_R245fa_R227ea.csv,0.09833914191857578,34.27396378818133,0.05652178482700318,84.86544162298625,59.99959465015141,,,,,
DC-A,SBVCHP_SBORC,R245fa,R227ea,pareto_DC-A_SBVCHP_SBORC_R245fa_R227ea.csv,0.11144929598188498,34.26504782540811,0.07473043827268787,85.48689823429811,59.99849226955503,,,,,
