wp,config,fluid_hp,fluid_he,file,eta_p2p,energy_density_thermal,exergy_efficiency,T_st_ht,dT_st_sp,T_st_lt,cop_hp,eta_he,energy_density_electric,storage_volume
DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SBORC_R1233zd(E)_R227ea.csv,0.010069565962275026,34.32095207375668,0.005309394043614756,81.30960046823076,59.99997199797702,,,,,
DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SBORC_R1233zd(E)_R227ea.csv,0.01086401126788644,34.32095207375668,0.0029639286172828275,81.30960046823076,59.99997199797702,,,,,
DC-A,SBVCHP_SBORC,R600,R227ea,pareto_DC-A_SBVCHP_SBORC_R600_R227ea.csv,0.01160444551801267,34.31865741234235,0.008351769374781699,81.44365823082144,59.999016329541604,,,,,
DC-A,SRVCHP_SBORC,R600,R227ea,pareto_DC-A_SRVCHP_SBORC_R600_R227ea.csv,0.011660262637375305,34.320545961699956,0.0036579052943325153,81.33156855456903,59.99976295643205,,,,,
DC-A,SBVCHP_SBORC,R600,R227ea,pareto_DC-A_SBVCHP_SBORC_R600_R227ea.csv,0.013149749710395465,34.31869219874959,0.0038431400947765604,81.48437119580662,59.99999784475345,,,,,
DC-A,SRVCHP_SBORC,R600,R227ea,pareto_DC-A_SRVCHP_SBORC_R600_R227ea.csv,0.02277063158372007,34.31504086161163,0.016767617828718745,81.75026920223708,59.99967494290136,,,,,
DC-A,SRVCHP_SBORC,R245fa,R227ea,pareto_DC-A_SRVCHP_SBORC_R245fa_R227ea.csv,0.028400431599761335,34.311752655587334,0.02168509454205489,81.97551879148446,59.99907012188127,,,,,
DC-A,SRVCHP_SBORC,R245fa,R227ea,pareto_DC-A_SRVCHP_SBORC_R245fa_R227ea.csv,0.032736561650898804,34.311739922302024,0.018759630225166687,81.97551879148446,59.999047994821495,,,,,
DC-A,SBVCHP_SBORC,R1233zd(E),R227ea,pareto_DC-A_SBVCHP_SBORC_R1233zd(E)_R227ea.csv,0.03598899110225607,34.30646800868455,0.028103486378120355,82.41779893337751,59.99993954993539,,,,,
DC-A,SRVCHP_SBORC,R245fa,R227ea,pareto_DC-A_SRVCHP_SBORC_R245fa_R227ea.csv,0.036199137139467104,34.31148129166468,0.0026474740187899123,82.02333853112572,59.99968414513039,,,,,
DC-A,SBVCHP_SBORC,R245fa,R227ea,pareto_DC-A_SBVCHP_SBORC_R245fa_R227ea.csv,0.04233542147471052,34.30210293844119,0.032865707011874905,82.71298393659086,59.99907878168225,,,,,
DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SBORC_R1233zd(E)_R227ea.csv,0.04646730888403954,34.30873732214251,0.015576558946548521,82.2398163773546,59.99983426539174,,,,,
DC-A,SBVCHP_SBORC,R1233zd(E),R227ea,pareto_DC-A_SBVCHP_SBORC_R1233zd(E)_R227ea.csv,0.0490282194474587,34.30417193127368,0.02060137156966354,82.58731109230582,59.999809776586865,,,,,
