wp,config,n,eta_max,e_max,ex_max
DC-A,SBVCHP_SBORC,1200,0.5111033188599292,34.320350683895995,0.32707179126021263
DC-A,SBVCHP_SRORC,900,0.5154105609895328,34.12096673981389,0.33670366716191946
DC-A,SRVCHP_SBORC,1200,0.5558477585871994,34.32095207375668,0.35295129187700003
DC-A,SRVCHP_SRORC,900,0.5692852725304602,34.12199858619671,0.36284985771473277
DC-B,SBVCHP_SBORC,1200,0.34270812015284075,34.04769035547255,0.29276163070087013
DC-B,SBVCHP_SRORC,600,0.34365611068389496,33.86322650359323,0.3001305040881526
DC-B,SRVCHP_SBORC,1200,0.39568443108361234,34.0487953776251,0.32457800854522006
DC-B,SRVCHP_SRORC,600,0.4023594256886412,33.86577749083069,0.3279881910643658
DC-C,SBVCHP_SBORC,1200,0.749521408957341,39.932754831863924,0.314450050230589
DC-C,SBVCHP_SRORC,900,0.7533619807099244,39.68237941776804,0.3248677719949258
DC-C,SRVCHP_SBORC,1200,0.7729763725621724,39.93379071561775,0.3369537866065244
DC-C,SRVCHP_SRORC,900,0.786161103790616,39.6826030636632,0.34502976118556317
DC-D,SBVCHP_SBORC,1200,0.43364183729864014,39.61238388104967,0.2885939270107216
DC-D,SBVCHP_SRORC,600,0.43974907749970915,39.41133944294937,0.2934828785038436
DC-D,SRVCHP_SBORC,1200,0.5022443844842598,39.614163372744954,0.31628677269075967
DC-D,SRVCHP_SRORC,600,0.5081852537501057,39.41741483293489,0.3182356673383555
DC-E,SBVCHP_SBORC,400,0.9998564717699894,45.50643710332264,0.28483465453341167
DC-E,SBVCHP_SRORC,300,0.9999778485532093,45.209832839690904,0.2908429612873249
DC-E,SRVCHP_SBORC,400,0.9999679583523963,45.50727485136768,0.2964254705300478
DC-E,SRVCHP_SRORC,300,0.9999987699075639,45.197054474924606,0.30361080967355725
DC-F,SBVCHP_SBORC,400,0.7504687348249678,45.140420150253995,0.26746181843935657
DC-F,SBVCHP_SRORC,200,0.7687467404745035,41.84544047358564,0.27043573492288847
DC-F,SRVCHP_SBORC,400,0.7692236123204189,45.142212440548,0.28248486959772345
DC-F,SRVCHP_SRORC,200,0.8057381360563882,41.9362765182517,0.28596790865845556
