wp,cb_config,fluid_hp,fluid_he,n_solutions,spearman_\_e_t_a_p_2_p_e_t_h,spearman_\_e_t_a_p_2_p_\_e_t_a_e_x,spearman_e_t_h_\_e_t_a_e_x,payoff_\_e_t_a_p_2_p_e_t_h,payoff_\_e_t_a_p_2_p_\_e_t_a_e_x,payoff_e_t_h_\_e_t_a_e_x,d_eucl_\_e_t_a_p_2_p_e_t_h,d_eucl_\_e_t_a_p_2_p_\_e_t_a_e_x,d_eucl_e_t_h_\_e_t_a_e_x
DC-A,SBVCHP_SBORC,R1233zd(E),R1234ze(E),100,-0.97577,0.64350,-0.74172,0.99972,0.32180,0.99431,1.23486,1.38786,1.23737
DC-A,SBVCHP_SBORC,R1233zd(E),R134a,100,-0.97987,0.68995,-0.78244,0.99808,0.33203,0.99690,1.23509,1.39101,1.24069
DC-A,SBVCHP_SBORC,R1233zd(E),R152a,100,-0.97414,0.52247,-0.64745,0.99857,0.49244,0.98977,1.23145,1.38895,1.24012
DC-A,SBVCHP_SBORC,R1233zd(E),R227ea,100,-0.97380,0.64935,-0.74304,0.99878,0.37166,0.98712,1.23501,1.39277,1.24296
DC-A,SBVCHP_SBORC,R245fa,R1234ze(E),100,-0.98850,0.52341,-0.59636,0.99823,0.52857,0.98176,1.23461,1.39928,1.25123
DC-A,SBVCHP_SBORC,R245fa,R134a,100,-0.99649,0.80159,-0.83311,0.99927,0.17683,0.98203,1.23314,1.39696,1.24773
DC-A,SBVCHP_SBORC,R245fa,R152a,100,-0.98063,0.54010,-0.63936,1.00000,0.41116,0.99342,1.23032,1.38550,1.23715
DC-A,SBVCHP_SBORC,R245fa,R227ea,100,-0.98096,0.45066,-0.54447,0.99898,0.51238,0.98375,1.23305,1.39884,1.25045
DC-A,SBVCHP_SBORC,R600,R1234ze(E),100,-0.99154,0.87443,-0.90410,0.99464,0.18085,0.99136,1.23333,1.38631,1.23807
DC-A,SBVCHP_SBORC,R600,R134a,100,-0.98837,0.53635,-0.61032,0.99985,0.27599,0.99759,1.23359,1.39154,1.24155
DC-A,SBVCHP_SBORC,R600,R152a,100,-0.98986,0.56475,-0.61727,0.99871,0.47745,0.98594,1.22769,1.39481,1.24952
DC-A,SBVCHP_SBORC,R600,R227ea,100,-0.99325,0.72684,-0.77213,0.99950,0.29305,0.99213,1.23065,1.38809,1.23994
DC-A,SBVCHP_SRORC,R1233zd(E),R1234ze(E),100,-0.95845,-0.30377,0.07592,0.94124,0.66961,0.86441,0.89405,1.08222,1.22320
