T_st_ht,dT_st_sp,dT_hp_cs_gl,dT_hp_ev_sh,dT_he_ev_sh,dT_hp_cd_sc,eta_max_cp,eta_max_ex,eta_pm,eta_p2p,energy_density_thermal,exergy_efficiency,wp,cb_config,fluid_hp,fluid_he,label,orc_type,hp_type
81.988756,59.999810,4.217996,4.673170,2.944390,14.949245,0.895966,0.899411,0.545281,0.030869,34.312005,0.012869,DC-A,SBVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SBVCHP
82.587311,59.999810,4.217996,4.673170,2.944390,14.964529,0.896637,0.899432,0.544361,0.049028,34.304172,0.020601,DC-A,SBVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SBVCHP
84.335948,59.999940,16.378458,6.083445,2.887322,14.925142,0.896521,0.899382,0.545446,0.078909,34.281193,0.062470,DC-A,SBVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SBVCHP
84.335948,59.999940,16.378458,6.083445,2.887322,14.925142,0.896521,0.899382,0.545446,0.078909,34.281193,0.062470,DC-A,SBVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SBVCHP
86.652117,59.999979,9.067956,6.485800,1.589382,14.935906,0.899372,0.899319,0.545135,0.138008,34.250285,0.089834,DC-A,SBVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SBVCHP
96.324657,59.999818,17.189109,13.069281,2.912173,14.842560,0.897900,0.896423,0.544778,0.236463,34.116115,0.196264,DC-A,SBVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SBVCHP
82.562766,59.999940,9.148021,6.083445,2.892198,14.925191,0.896508,0.899382,0.546023,0.044753,34.304568,0.028356,DC-A,SBVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SBVCHP
86.891444,59.999922,16.100914,13.041304,2.861381,14.842663,0.896639,0.899334,0.546011,0.131835,34.247031,0.103712,DC-A,SBVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SBVCHP
86.891444,59.999922,16.100914,13.041304,2.861381,14.842663,0.896639,0.899334,0.546011,0.131835,34.247031,0.103712,DC-A,SBVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SBVCHP
83.074853,59.999940,16.199234,6.036380,2.934995,14.925050,0.896521,0.899382,0.545446,0.051700,34.297844,0.040570,DC-A,SBVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SBVCHP
82.417799,59.999940,16.070069,5.912115,2.883013,14.925272,0.894570,0.899300,0.545480,0.035989,34.306468,0.028103,DC-A,SBVCHP_SBORC,R1233zd(E),R227ea,Air-cooled (Winter),SBORC,SBVCHP
82.192067,59.999856,15.579039,10.448662,0.758448,14.985069,0.899622,0.899979,0.549087,0.028076,34.309374,0.021709,DC-A,SBVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SBVCHP
82.942500,59.999893,15.859210,10.331659,1.291962,14.973458,0.899807,0.899910,0.548307,0.047220,34.299558,0.036863,DC-A,SBVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SBVCHP
82.712984,59.999079,15.883295,12.433758,1.300968,14.954473,0.899904,0.899980,0.542974,0.042335,34.302103,0.032866,DC-A,SBVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SBVCHP
93.036996,59.999158,13.842284,12.716682,0.500896,14.993314,0.899622,0.899940,0.548138,0.213195,34.162186,0.167172,DC-A,SBVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SBVCHP
85.486898,59.998492,9.760682,10.208929,1.291006,14.985045,0.898696,0.899703,0.548370,0.111449,34.265048,0.074730,DC-A,SBVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SBVCHP
87.191212,59.999894,15.559021,13.063241,0.566882,14.957353,0.899611,0.899929,0.549177,0.134011,34.242972,0.105555,DC-A,SBVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SBVCHP
87.885670,59.999893,15.859210,13.063241,1.291962,14.973458,0.899807,0.899910,0.548307,0.144145,34.233577,0.114520,DC-A,SBVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SBVCHP
81.484371,59.999998,2.142076,11.052050,2.947172,14.979371,0.899577,0.899783,0.549115,0.013150,34.318692,0.003843,DC-A,SBVCHP_SBORC,R600,R227ea,Air-cooled (Winter),SBORC,SBVCHP
81.443658,59.999016,12.874280,11.954223,2.912517,14.967092,0.899596,0.899733,0.549155,0.011604,34.318657,0.008352,DC-A,SBVCHP_SBORC,R600,R227ea,Air-cooled (Winter),SBORC,SBVCHP
85.631381,59.999034,13.036942,11.605187,2.733362,14.987842,0.899568,0.899236,0.549191,0.109687,34.263429,0.081487,DC-A,SBVCHP_SBORC,R600,R227ea,Air-cooled (Winter),SBORC,SBVCHP
82.202462,59.999977,6.162340,11.915754,2.933609,14.217328,0.899857,0.899801,0.549155,0.033098,34.309308,0.018268,DC-A,SBVCHP_SBORC,R600,R227ea,Air-cooled (Winter),SBORC,SBVCHP
84.502459,59.999756,13.909884,10.079089,2.842010,14.994302,0.899644,0.899771,0.549818,0.084673,34.278879,0.064118,DC-A,SBVCHP_SBORC,R600,R227ea,Air-cooled (Winter),SBORC,SBVCHP
84.502459,59.999756,13.909884,10.079089,2.842010,14.994302,0.899644,0.899771,0.549818,0.084673,34.278879,0.064118,DC-A,SBVCHP_SBORC,R600,R227ea,Air-cooled (Winter),SBORC,SBVCHP
82.937379,59.999990,13.059436,12.927865,0.997803,14.994797,0.899859,0.899785,0.549709,0.050083,34.299681,0.036471,DC-A,SBVCHP_SBORC,R600,R227ea,Air-cooled (Winter),SBORC,SBVCHP
88.211095,59.999990,13.059436,12.888782,0.979991,14.979322,0.899503,0.899785,0.549701,0.155439,34.229216,0.116861,DC-A,SBVCHP_SBORC,R600,R227ea,Air-cooled (Winter),SBORC,SBVCHP
91.470229,59.988747,13.465009,11.830537,2.918067,14.792315,0.899857,0.899751,0.547920,0.193733,34.178033,0.150184,DC-A,SBVCHP_SBORC,R600,R227ea,Air-cooled (Winter),SBORC,SBVCHP
83.735235,59.998900,12.864182,12.332450,2.923755,14.980118,0.899805,0.899696,0.547320,0.070938,34.288544,0.051736,DC-A,SBVCHP_SBORC,R600,R227ea,Air-cooled (Winter),SBORC,SBVCHP
88.560967,59.999990,13.059436,12.888782,0.979991,14.979322,0.899508,0.899785,0.549578,0.160709,34.224457,0.121063,DC-A,SBVCHP_SBORC,R600,R227ea,Air-cooled (Winter),SBORC,SBVCHP
103.448052,59.990412,11.522088,3.227520,2.755098,14.346676,0.899587,0.899679,0.549936,0.341231,34.007247,0.244641,DC-A,SRVCHP_SBORC,R1233zd(E),R1234ze(E),Air-cooled (Winter),SBORC,SRVCHP
96.244778,59.999991,11.713463,8.199889,2.995415,14.349732,0.899299,0.899967,0.549730,0.273602,34.117353,0.191112,DC-A,SRVCHP_SBORC,R1233zd(E),R1234ze(E),Air-cooled (Winter),SBORC,SRVCHP
91.631249,59.999995,12.330754,3.135329,2.903206,14.328877,0.899632,0.899841,0.549759,0.209580,34.182255,0.146302,DC-A,SRVCHP_SBORC,R1233zd(E),R1234ze(E),Air-cooled (Winter),SBORC,SRVCHP
102.409116,59.996377,12.201840,3.263606,1.579676,14.489330,0.899601,0.899654,0.549427,0.330543,34.025977,0.240550,DC-A,SRVCHP_SBORC,R1233zd(E),R1234ze(E),Air-cooled (Winter),SBORC,SRVCHP
119.516572,59.990412,11.357719,3.227520,2.986811,14.343581,0.899587,0.899679,0.549860,0.418316,33.762738,0.315805,DC-A,SRVCHP_SBORC,R1233zd(E),R1234ze(E),Air-cooled (Winter),SBORC,SRVCHP
105.780269,59.999990,11.367268,8.090223,2.909850,14.175956,0.897600,0.899916,0.542752,0.358772,33.978075,0.258193,DC-A,SRVCHP_SBORC,R1233zd(E),R1234ze(E),Air-cooled (Winter),SBORC,SRVCHP
119.729823,58.834392,7.711028,3.157773,2.959079,14.510254,0.899799,0.899842,0.549314,0.438862,33.102569,0.291939,DC-A,SRVCHP_SBORC,R1233zd(E),R1234ze(E),Air-cooled (Winter),SBORC,SRVCHP
103.396095,59.999987,16.455357,3.031901,2.997151,12.361500,0.899671,0.899682,0.548784,0.318950,34.013490,0.254542,DC-A,SRVCHP_SBORC,R1233zd(E),R1234ze(E),Air-cooled (Winter),SBORC,SRVCHP
117.494152,59.997864,12.065878,3.160322,2.906255,12.873455,0.898878,0.899814,0.540642,0.407133,33.798370,0.311212,DC-A,SRVCHP_SBORC,R1233zd(E),R1234ze(E),Air-cooled (Winter),SBORC,SRVCHP
