variable,label,mean,std,cv,min,max,classification
eta_max_ex,"$\eta_{max,ex}$ [-]",0.899469,0.000931,0.001035,0.894100,0.899994,must-have
eta_max_cp,"$\eta_{max,cp}$ [-]",0.899323,0.001086,0.001208,0.895506,0.899998,must-have
eta_pm,$\eta_{pm}$ [-],0.545535,0.003564,0.006533,0.539803,0.549946,must-have
T_st_ht,"$T_{st,ht}$ [°C]",116.987982,3.234582,0.027649,106.752103,119.932753,must-have
dT_hp_cd_sc,"$\Delta T_{hp,cd,sc}$ [K]",14.604788,0.456818,0.031279,13.016454,14.998510,must-have
dT_st_sp,"$\Delta T_{st,sp}$ [K]",57.280539,2.566096,0.044799,52.149142,59.999535,must-have
T_st_lt,"$T_{st,lt}$ [°C]",59.707443,4.527653,0.075831,46.755680,64.903594,must-have
dT_he_ev_sh,"$\Delta T_{he,ev,sh}$ [K]",2.855078,0.397920,0.139373,0.594926,2.996657,gray
dT_hp_ev_sh,"$\Delta T_{hp,ev,sh}$ [K]",3.268775,0.497326,0.152145,3.002987,6.031481,gray
dT_hp_cs_gl,"$\Delta T_{hp,cs,gl}$ [K]",6.410577,4.779374,0.745545,0.163385,17.535073,real-choice
