wp,config,fluid_hp,fluid_he,eta_P2P,E_dens_th,eta_II,T_st_ht,dT_st_sp,T_st_lt,T_hp_cs,T_he_cs,dT_hp_cs_gl,dT_hp_ev_sh,dT_he_ev_sh,dT_hp_cd_sc,eta_max_cp,eta_max_ex,eta_pm,dT_HP_rel,dT_ORC,dT_TES_rel_sp
DC-A,SRVCHP_SBORC,R600,R134a,0.36286874478697656,25.49611789687245,0.2979501447152709,108.08296246843538,45.1785586332482,62.90440383518718,35.0,5.0,16.805244145274806,10.094442204333486,3.679097129168184,21.688330777375143,0.8485982770714084,0.8220976184798412,0.6946203615066439,0.708972275518506,103.08296246843538,0.4382737704795993
DC-A,SRVCHP_SRORC,R1233zd(E),R1234ze(E),0.40220475785245,20.63591663138491,0.32176177772987935,115.3411187921171,36.7493463456155,78.59177244650161,35.0,5.0,12.707482358305143,14.392676238460647,5.398803042726261,14.044380578601428,0.8209109333459433,0.8427270221417313,0.6765965128286182,0.7281158617167907,110.3411187921171,0.3330521454549627
DC-A,SRVCHP_SRORC,R600,R1234ze(E),0.35786769680111813,31.093474048971334,0.2711014746215181,116.44591143796514,55.2132937347035,61.23261770326164,35.0,5.0,9.964009832718169,5.162582171511,6.183113283769675,5.083018782332011,0.7503651838270275,0.8251590374829986,0.7420524471460244,0.730811120722907,111.44591143796514,0.49542682205472593
DC-A,SRVCHP_SRORC,R600,R1234ze(E),0.3367144027462861,32.418395539694096,0.2898940201751884,118.97437366763876,57.61002141209458,61.364352255544176,35.0,5.0,18.965188241456648,11.994019494679723,8.129037599120565,25.09096984725932,0.7856252829363366,0.7859692084938692,0.7076509212665203,0.7367829360704964,113.97437366763876,0.5054646896335789
DC-A,SRVCHP_SRORC,R600,R1234ze(E),0.3928511221570674,21.832644643780537,0.31239124236528026,117.52470972817217,38.90419377314747,78.6205159550247,35.0,5.0,11.983963714756445,5.09087599097076,9.178735850003983,14.476831837922822,0.7917232213315304,0.8389291372660387,0.518090147396459,0.7333918916789788,112.52470972817217,0.34573911692044335
DC-C,SRVCHP_SBORC,R245fa,R1234ze(E),0.40416245358160785,28.314958624437196,0.2468906755742026,100.57564083226514,49.96219102119177,50.613449811073366,50.0,5.0,17.747140145925698,13.232068776374744,5.210480669540748,28.848363455831596,0.8162158179023898,0.8440731300302556,0.7226581643979219,0.5291687337051203,95.57564083226514,0.522750259230542
DC-C,SRVCHP_SBORC,R245fa,R227ea,0.3773753015129584,29.331645668935288,0.24331753553942895,101.78931260109317,51.76903944550784,50.02027315558533,50.0,5.0,19.43610260708288,14.203169069885918,4.493147343008319,20.471038875013395,0.8344805528649029,0.8219538618355614,0.518105659452185,0.5350726357003619,96.78931260109317,0.5348631791494214
DC-C,SRVCHP_SRORC,R1233zd(E),R1234ze(E),0.464098384404619,13.747492714222558,0.26955199761227416,102.1287129484661,24.391159970352536,77.73755297811357,50.0,5.0,13.717696250429729,2.2496177289251125,3.5586097237796857,6.648172358427196,0.8133239393071454,0.8063141958797893,0.6946506441848865,0.5366972480745648,97.1287129484661,0.25112203415372997
DC-C,SRVCHP_SRORC,R1233zd(E),R1234ze(E),0.42497084635429405,22.538302735906022,0.27901940710378687,116.99828636930111,40.14198159853962,76.85630477076148,50.0,5.0,15.98081855925987,11.798703947519822,3.0822676741562383,9.093277207742467,0.8310255140400628,0.8100689016885215,0.5473854630511037,0.59820813818867,111.99828636930111,0.3584160338505197
DC-C,SRVCHP_SRORC,R1233zd(E),R227ea,0.4459300036400052,23.66943222752407,0.25119186189669507,110.03443345705526,42.00412262975921,68.03031082729605,50.0,5.0,12.505120802953027,7.803231949399513,4.83963533134799,5.699935534477115,0.8237704576252504,0.7974818669376372,0.5593748999640935,0.5715690700764444,105.03443345705526,0.3999081181975734
DC-C,SRVCHP_SRORC,R245fa,R227ea,0.4216189068161267,27.371302094636757,0.28760540415830027,115.90434110171182,48.64734981424452,67.2569912874673,50.0,5.0,17.370018556680574,6.461994743695757,5.7131890135170105,8.781250177136972,0.7940005362271894,0.8261739151856285,0.5522425940487092,0.5942449181612295,110.90434110171182,0.4386424312248463
