wp,config,fluid_hp,fluid_he,eta_P2P,E_dens_th,eta_II,T_st_ht,dT_st_sp,T_st_lt,T_hp_cs,T_he_cs,dT_hp_cs_gl,dT_hp_ev_sh,dT_he_ev_sh,dT_hp_cd_sc,eta_max_cp,eta_max_ex,eta_pm,dT_HP_rel,dT_ORC,dT_TES_rel_sp
DC-A,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.35312320509854067,17.928727164254003,0.22216737797298644,93.77211081124756,31.64072012844032,62.131390682807236,35.0,5.0,6.530122803116738,8.738356975204544,7.909365240614494,20.07519080557399,0.7535395729584782,0.8188324010510333,0.6831579244111992,0.6620560249627526,88.77211081124756,0.3564263577748722
DC-A,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.1983683137525703,33.76976619199332,0.1732357818952388,105.44095751668881,59.626528587685755,45.81442892900306,35.0,5.0,18.816613616907702,8.786604668917992,6.797106893325806,19.71920054849363,0.8258016155744307,0.742720110254397,0.5416830591685418,0.7013170648535948,100.44095751668881,0.5936475523720339
DC-A,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.3614099357649843,16.8802876140981,0.2532299222449536,102.2746278360483,29.917627793459545,72.35700004258875,35.0,5.0,7.802703414784361,7.8832143578643095,9.662071307317797,18.285496330913737,0.7863992732540975,0.795028296747154,0.6903635077099317,0.6915948108219591,97.2746278360483,0.3075583886466702
DC-A,SBVCHP_SRORC,R1233zd(E),R227ea,0.3057975124808357,19.94925681015563,0.2309092340266625,108.45310899725243,35.42068237562012,73.03242662163231,35.0,5.0,7.243049138717433,14.92450453237364,8.026032890613214,19.1245302302352,0.6526911559116692,0.8258870795805878,0.5390566667001478,0.7100135482559856,103.45310899725243,0.3423839333485941
DC-A,SBVCHP_SRORC,R1233zd(E),R227ea,0.23676608934818735,33.639316339715,0.1736749851748375,108.9556944419572,59.48992230802794,49.46577213392926,35.0,5.0,6.533826752473905,4.01635686276256,1.4800413343877294,5.8897476544954515,0.7140287743354066,0.7789729623577218,0.7027400628300854,0.7114155202267419,103.9556944419572,0.5722622760337929
DC-A,SBVCHP_SRORC,R1233zd(E),R227ea,0.30005941389393426,32.95567836643312,0.24579558268730106,118.39510108222579,58.540109003850404,59.85499207837539,35.0,5.0,10.134072387718838,14.314794822091272,2.505085239346374,23.78428806358538,0.6640612044445503,0.8141914317841588,0.7456274262586433,0.7354383062964404,113.39510108222579,0.5162490129216554
DC-A,SBVCHP_SRORC,R1233zd(E),R227ea,0.34429795448255446,22.15337348847035,0.21739969958064317,97.71422415077343,39.11227912231005,58.60194502846338,35.0,5.0,6.899662041513097,5.360655909429414,7.057741375585661,27.9785428657465,0.7718667511305771,0.7732659565846189,0.738660086349832,0.6764250547875642,92.71422415077343,0.4218584524711656
DC-A,SBVCHP_SRORC,R1233zd(E),R134a,0.3285963585613125,26.34200341590789,0.21933564015918885,103.98633419194493,46.57847503907734,57.407859152867594,35.0,5.0,6.705327950881526,11.268677690393115,7.752934091730886,21.143777353230366,0.822812180604879,0.848382697495224,0.6695716251379609,0.6969278613568329,98.98633419194493,0.4705546014943514
DC-A,SBVCHP_SRORC,R245fa,R1234ze(E),0.31785617927977716,24.824045302381876,0.22324710058279276,113.01241430490717,44.097210276145,68.91520402876216,35.0,5.0,5.782381319497405,10.696997627473104,4.0694879875979915,24.625647630959914,0.6980799638047138,0.8384761616729366,0.7267626299269027,0.7222541483489732,108.01241430490717,0.40826057411941025
DC-A,SBVCHP_SRORC,R245fa,R1234ze(E),0.3312200138328664,19.134157449941426,0.2870517513518907,107.67703326945329,33.97076615341852,73.70626711603477,35.0,5.0,16.83958414744285,6.755707878595111,9.832505685970695,28.230954708804056,0.7687262877442063,0.8308353501430272,0.6564927213570684,0.7078217100286527,102.67703326945329,0.330850678790745
