wp,config,fluid_hp,fluid_he,eta_P2P,E_dens_th,eta_II,T_st_ht,dT_st_sp,T_st_lt,T_hp_cs,T_he_cs,dT_hp_cs_gl,dT_hp_ev_sh,dT_he_ev_sh,dT_hp_cd_sc,eta_max_cp,eta_max_ex,eta_pm,dT_HP_rel,dT_ORC,dT_TES_rel_sp
DC-A,SRVCHP_SBORC,R1233zd(E),R1234ze(E),0.38325197428965146,23.796873029251024,0.23959699934758538,114.03195449739567,42.30691519415508,71.72503930324059,35.0,5.0,5.546539176509149,9.137273454501535,9.988745727172024,7.11617805806113,0.7804277562873351,0.8286562209520223,0.7276011893934029,0.7248513049381631,109.03195449739567,0.38802308359211907
DC-A,SRVCHP_SBORC,R1233zd(E),R1234ze(E),0.3881800518608479,20.63591663138491,0.31054208367133157,115.3411187921171,36.7493463456155,78.59177244650161,35.0,5.0,12.707482358305143,14.392676238460647,5.398803042726261,14.044380578601428,0.8209109333459433,0.8427270221417313,0.6765965128286182,0.7281158617167907,110.3411187921171,0.3330521454549627
DC-A,SRVCHP_SBORC,R1233zd(E),R1234ze(E),0.25611917193823464,33.68631084953458,0.16337540182771637,119.82409162195898,59.86433376802774,59.959757853931244,35.0,5.0,5.08400022297838,13.770252077546067,2.0956073093655885,20.960867773300972,0.6759158249801134,0.6548063816631507,0.6588130560411084,0.7387307874485916,114.82409162195898,0.5213569114495766
DC-A,SRVCHP_SBORC,R1233zd(E),R134a,0.29360824053686335,33.63363602351018,0.22213539886901898,116.98561479019301,59.694449266653145,57.29116552353987,35.0,5.0,10.279503469517458,11.116872089922515,4.3543289653757276,17.696234683725955,0.7397036523939448,0.7059549374082679,0.7126912654169117,0.7321084493199816,111.98561479019301,0.5330546193677798
DC-A,SRVCHP_SBORC,R245fa,R134a,0.35924190722292215,27.81958799019719,0.19827281109782113,105.10709306959107,49.19419915860921,55.912893910981865,35.0,5.0,5.4293932995448575,4.223772467009439,8.633122854428017,14.264381076894695,0.8269017525596585,0.7923572695360582,0.5462934638405228,0.7003209355090851,100.10709306959107,0.49141571940772527
DC-A,SRVCHP_SBORC,R245fa,R134a,0.2895408203619308,33.18808240330333,0.2283065108672727,115.08964635912548,58.86053677597149,56.22910958315399,35.0,5.0,13.137448058240143,5.5649799873617996,7.566977603438965,29.626577346396093,0.779550573588152,0.688418137079077,0.6658706819587816,0.7274948099829802,110.08964635912548,0.5346600586213297
DC-A,SRVCHP_SBORC,R245fa,R152a,0.4133665295004119,15.669863945242447,0.24820641682429292,105.57316753514122,27.82720810942297,77.74595942571825,35.0,5.0,5.894642211173244,4.549011532620477,9.820627386309424,20.546265845713584,0.7759991028024547,0.8004466296536379,0.6752409986572453,0.701709703142066,100.57316753514122,0.27668620558957613
DC-A,SRVCHP_SBORC,R600,R1234ze(E),0.06554608471188798,34.20680478273674,0.048999056728556596,85.0868822763178,59.88791441060363,25.198967865714167,35.0,5.0,15.017879097773294,10.012932698639794,5.186025986294386,18.704638053805635,0.7791437448964167,0.6987475044754031,0.7485317573892029,0.6254068188533892,80.0868822763178,0.7477868123767988
DC-A,SRVCHP_SBORC,R600,R1234ze(E),0.35115130747195317,31.093474048971334,0.2660134963894936,116.44591143796514,55.2132937347035,61.23261770326164,35.0,5.0,9.964009832718169,5.162582171511,6.183113283769675,5.083018782332011,0.7503651838270275,0.8251590374829986,0.7420524471460244,0.730811120722907,111.44591143796514,0.49542682205472593
DC-A,SRVCHP_SBORC,R600,R1234ze(E),0.3295104258446924,32.418395539694096,0.2836917615007183,118.97437366763876,57.61002141209458,61.364352255544176,35.0,5.0,18.965188241456648,11.994019494679723,8.129037599120565,25.09096984725932,0.7856252829363366,0.7859692084938692,0.7076509212665203,0.7367829360704964,113.97437366763876,0.5054646896335789
DC-A,SRVCHP_SBORC,R600,R1234ze(E),0.4147659302941255,18.82625566016202,0.23838022663781705,99.27620771102167,33.29797662364841,65.97823108737326,35.0,5.0,6.169162752710454,2.412644152844301,9.7235909106855,19.11145480836214,0.8189221130274894,0.813540267812881,0.7002885933928201,0.6817860971671992,94.27620771102167,0.35319596992821767
DC-A,SRVCHP_SBORC,R600,R1234ze(E),0.3748179374296517,21.832644643780537,0.298051436105168,117.52470972817217,38.90419377314747,78.6205159550247,35.0,5.0,11.983963714756445,5.09087599097076,9.178735850003983,14.476831837922822,0.7917232213315304,0.8389291372660387,0.518090147396459,0.7333918916789788,112.52470972817217,0.34573911692044335
DC-A,SRVCHP_SBORC,R600,R134a,0.36286874478697656,25.49611789687245,0.2979501447152709,108.08296246843538,45.1785586332482,62.90440383518718,35.0,5.0,16.805244145274806,10.094442204333486,3.679097129168184,21.688330777375143,0.8485982770714084,0.8220976184798412,0.6946203615066439,0.708972275518506,103.08296246843538,0.4382737704795993
