wp,config,fluid_hp,fluid_he,eta_P2P,E_dens_th,eta_II,T_st_ht,dT_st_sp,T_st_lt,T_hp_cs,T_he_cs,dT_hp_cs_gl,dT_hp_ev_sh,dT_he_ev_sh,dT_hp_cd_sc,eta_max_cp,eta_max_ex,eta_pm,dT_HP_rel,dT_ORC,dT_TES_rel_sp
DC-A,SRVCHP_SRORC,R1233zd(E),R1234ze(E),0.4005202849604699,23.796873029251024,0.25039260040925926,114.03195449739567,42.30691519415508,71.72503930324059,35.0,5.0,5.546539176509149,9.137273454501535,9.988745727172024,7.11617805806113,0.7804277562873351,0.8286562209520223,0.7276011893934029,0.7248513049381631,109.03195449739567,0.38802308359211907
DC-A,SRVCHP_SRORC,R1233zd(E),R1234ze(E),0.40220475785245,20.63591663138491,0.32176177772987935,115.3411187921171,36.7493463456155,78.59177244650161,35.0,5.0,12.707482358305143,14.392676238460647,5.398803042726261,14.044380578601428,0.8209109333459433,0.8427270221417313,0.6765965128286182,0.7281158617167907,110.3411187921171,0.3330521454549627
DC-A,SRVCHP_SRORC,R1233zd(E),R1234ze(E),0.26158971976062684,33.68631084953458,0.16686499982203054,119.82409162195898,59.86433376802774,59.959757853931244,35.0,5.0,5.08400022297838,13.770252077546067,2.0956073093655885,20.960867773300972,0.6759158249801134,0.6548063816631507,0.6588130560411084,0.7387307874485916,114.82409162195898,0.5213569114495766
DC-A,SRVCHP_SRORC,R245fa,R1234ze(E),0.4024046325166903,20.50944393076696,0.28627074089686994,114.64918574192464,36.51387943154978,78.13530631037486,35.0,5.0,8.244648439499956,4.737750131935163,6.935943576213431,23.71912818119517,0.7461211492689857,0.8121058406363728,0.6718425362591942,0.7264001570371039,109.64918574192464,0.3330063892812713
DC-A,SRVCHP_SRORC,R245fa,R227ea,0.4121427120215818,20.451498691445117,0.252187551505337,106.27591153083122,36.26945085950293,70.00646067132828,35.0,5.0,5.883731323501186,2.9113439234701444,5.40173936563735,17.430756806633923,0.7398627098658761,0.8391563954019048,0.6227769867108837,0.7037795113711007,101.27591153083122,0.358125148530127
DC-A,SRVCHP_SRORC,R245fa,R227ea,0.34781108494617574,23.031544736336855,0.29234477707436796,104.82005964799734,40.78261483282007,64.03744481517727,35.0,5.0,17.370018556680574,6.461994743695757,5.7131890135170105,8.781250177136972,0.7940005362271894,0.8261739151856285,0.5522425940487092,0.6994592058370717,99.82005964799734,0.40856131499655224
DC-A,SRVCHP_SRORC,R245fa,R134a,0.3612066390414463,27.81958799019719,0.19935718597970364,105.10709306959107,49.19419915860921,55.912893910981865,35.0,5.0,5.4293932995448575,4.223772467009439,8.633122854428017,14.264381076894695,0.8269017525596585,0.7923572695360582,0.5462934638405228,0.7003209355090851,100.10709306959107,0.49141571940772527
DC-A,SRVCHP_SRORC,R245fa,R134a,0.2913427794081366,33.18808240330333,0.2297273778180906,115.08964635912548,58.86053677597149,56.22910958315399,35.0,5.0,13.137448058240143,5.5649799873617996,7.566977603438965,29.626577346396093,0.779550573588152,0.688418137079077,0.6658706819587816,0.7274948099829802,110.08964635912548,0.5346600586213297
DC-A,SRVCHP_SRORC,R600,R1234ze(E),0.35786769680111813,31.093474048971334,0.2711014746215181,116.44591143796514,55.2132937347035,61.23261770326164,35.0,5.0,9.964009832718169,5.162582171511,6.183113283769675,5.083018782332011,0.7503651838270275,0.8251590374829986,0.7420524471460244,0.730811120722907,111.44591143796514,0.49542682205472593
DC-A,SRVCHP_SRORC,R600,R1234ze(E),0.3367144027462861,32.418395539694096,0.2898940201751884,118.97437366763876,57.61002141209458,61.364352255544176,35.0,5.0,18.965188241456648,11.994019494679723,8.129037599120565,25.09096984725932,0.7856252829363366,0.7859692084938692,0.7076509212665203,0.7367829360704964,113.97437366763876,0.5054646896335789
DC-A,SRVCHP_SRORC,R600,R1234ze(E),0.4308671499381841,18.82625566016202,0.2476341506165155,99.27620771102167,33.29797662364841,65.97823108737326,35.0,5.0,6.169162752710454,2.412644152844301,9.7235909106855,19.11145480836214,0.8189221130274894,0.813540267812881,0.7002885933928201,0.6817860971671992,94.27620771102167,0.35319596992821767
DC-A,SRVCHP_SRORC,R600,R1234ze(E),0.3928511221570674,21.832644643780537,0.31239124236528026,117.52470972817217,38.90419377314747,78.6205159550247,35.0,5.0,11.983963714756445,5.09087599097076,9.178735850003983,14.476831837922822,0.7917232213315304,0.8389291372660387,0.518090147396459,0.7333918916789788,112.52470972817217,0.34573911692044335
