wp,config,fluid_hp,fluid_he,eta_P2P,E_dens_th,eta_II,T_st_ht,dT_st_sp,T_st_lt,T_hp_cs,T_he_cs,dT_hp_cs_gl,dT_hp_ev_sh,dT_he_ev_sh,dT_hp_cd_sc,eta_max_cp,eta_max_ex,eta_pm,dT_HP_rel,dT_ORC,dT_TES_rel_sp
DC-B,SRVCHP_SBORC,R1233zd(E),R1234ze(E),0.2805012441651041,23.792112318184373,0.240974297628144,114.45824346186743,42.30691519415508,72.15132826771234,40.0,25.0,5.546539176509149,9.137273454501535,9.988745727172024,7.11617805806113,0.7804277562873351,0.8286562209520223,0.7276011893934029,0.8323240048146718,89.45824346186743,0.47292360722674903
DC-B,SRVCHP_SBORC,R1233zd(E),R1234ze(E),0.2965929526963844,20.632671743325425,0.2776303151270263,115.67389602125158,36.7493463456155,78.92454967563609,40.0,25.0,12.707482358305143,14.392676238460647,5.398803042726261,14.044380578601428,0.8209109333459433,0.8427270221417313,0.6765965128286182,0.8345720140173044,90.67389602125158,0.405291356809047
DC-B,SRVCHP_SBORC,R1233zd(E),R134a,0.17891749359888,33.630318244067546,0.16445719638275197,117.20092801946494,59.694449266653145,57.506478752811795,40.0,25.0,10.279503469517458,11.116872089922515,4.3543289653757276,17.696234683725955,0.7397036523939448,0.7059549374082679,0.7126912654169117,0.8373118327308671,92.20092801946494,0.6474387031554693
DC-B,SRVCHP_SBORC,R245fa,R152a,0.30607139665476446,15.662248201080084,0.25904960073667893,106.60365556834543,27.82720810942297,78.77644745892246,40.0,25.0,5.894642211173244,4.549011532620477,9.820627386309424,20.546265845713584,0.7759991028024547,0.8004466296536379,0.6752409986572453,0.8161847052619222,81.60365556834543,0.3410044306914275
DC-B,SRVCHP_SBORC,R245fa,R152a,0.235661327477714,29.9737737147505,0.21998837224202636,119.00515647346853,53.30572985148812,65.69942662198042,40.0,25.0,12.144076059755673,12.34318361282135,8.103968490849706,28.80299201020499,0.7265083469137206,0.8133887034520279,0.732187851768341,0.8404342850678248,94.00515647346853,0.5670511262489395
DC-B,SRVCHP_SBORC,R600,R1234ze(E),0.23035169980655656,31.089828455994557,0.21179675313775262,116.69977490668191,55.2132937347035,61.48648117197841,40.0,25.0,9.964009832718169,5.162582171511,6.183113283769675,5.083018782332011,0.7503651838270275,0.8251590374829986,0.7420524471460244,0.8364227173374774,91.69977490668191,0.602109370398032
DC-B,SRVCHP_SBORC,R600,R1234ze(E),0.21607011658657024,32.417297672112056,0.2069578406727045,119.04763269137885,57.61002141209458,61.43761127928427,40.0,25.0,18.965188241456648,11.994019494679723,8.129037599120565,25.09096984725932,0.7856252829363366,0.7859692084938692,0.7076509212665203,0.8405063522521283,94.04763269137885,0.6125621641231972
DC-B,SRVCHP_SBORC,R600,R1234ze(E),0.2836995157849822,21.830820900245726,0.26502650850365217,117.70151617615987,38.90419377314747,78.7973224030124,40.0,25.0,11.983963714756445,5.09087599097076,9.178735850003983,14.476831837922822,0.7917232213315304,0.8389291372660387,0.518090147396459,0.8381903487803195,92.70151617615987,0.41967160169439055
DC-B,SRVCHP_SBORC,R600,R134a,0.23987532173600593,25.486095793316057,0.22648002648253404,108.93417943497572,45.1785586332482,63.75562080172752,40.0,25.0,16.805244145274806,10.094442204333486,3.679097129168184,21.688330777375143,0.8485982770714084,0.8220976184798412,0.6946203615066439,0.821288537030131,83.93417943497572,0.538261753881186
DC-B,SRVCHP_SBORC,R600,R152a,0.25841990377015805,25.71812114161267,0.21910309020373384,110.73868834693047,45.62430932731823,65.11437901961224,40.0,25.0,6.529311331819925,2.33678466196217,6.763802591586156,27.923299826195798,0.848228391553749,0.784626500500561,0.7280402404280106,0.825049807861482,85.73868834693047,0.5321321122001001
