wp,config,fluid_hp,fluid_he,eta_P2P,E_dens_th,eta_II,T_st_ht,dT_st_sp,T_st_lt,T_hp_cs,T_he_cs,dT_hp_cs_gl,dT_hp_ev_sh,dT_he_ev_sh,dT_hp_cd_sc,eta_max_cp,eta_max_ex,eta_pm,dT_HP_rel,dT_ORC,dT_TES_rel_sp
DC-C,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.3458909064609578,29.45664860692899,0.1928614947657604,107.58143696232577,52.121940494704965,55.4594964676208,50.0,5.0,10.388571968975954,11.354004424803039,8.661127938725372,17.214466746213088,0.7404142283412201,0.817911332050472,0.6482959797005267,0.5613241407748385,102.58143696232577,0.5081030451332765
DC-C,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.303458184988759,36.062223520388386,0.17944623054060957,108.13269106492967,63.71196018382685,44.42073088110283,50.0,5.0,12.219914294112087,8.991726000643501,2.8747685222487376,22.448115946394097,0.7470097365354027,0.8354981082125195,0.5849994746941205,0.5636689052196925,103.13269106492967,0.6177668741690784
DC-C,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.3669870544080946,18.32356087535035,0.196218932272068,85.1469825263674,32.21001266769595,52.936969858671446,50.0,5.0,14.656386984134096,13.105885900536553,1.6821217093059222,27.468891965118072,0.713111366512573,0.765499888493521,0.6396844960088226,0.4385315755936845,80.1469825263674,0.401886779169749
DC-C,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.3259818569569426,22.538302735906022,0.2382083641298144,116.99828636930111,40.14198159853962,76.85630477076148,50.0,5.0,15.98081855925987,11.798703947519822,3.0822676741562383,9.093277207742467,0.8310255140400628,0.8100689016885215,0.5473854630511037,0.59820813818867,111.99828636930111,0.3584160338505197
DC-C,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.4492784103969966,14.58756114450642,0.13589333723782882,87.10764497573884,25.696053380263645,61.41159159547519,50.0,5.0,5.720782612063725,14.870604898017815,4.409800631860458,21.773094363865795,0.82774185266642,0.7933694967699212,0.7306101896806397,0.4519389758006505,82.10764497573884,0.3129556740770767
DC-C,SBVCHP_SBORC,R1233zd(E),R227ea,0.4327807734043132,15.784025937576633,0.13524874474670973,70.69363842381665,27.599033286808154,43.0946051370085,50.0,5.0,9.193723818442166,2.332437790640549,1.9440286482403613,22.715396193775515,0.7269709751016717,0.8449014968520668,0.5326822482434824,0.31500216642460094,65.69363842381665,0.42011728911642027
DC-C,SBVCHP_SBORC,R1233zd(E),R227ea,0.3655390194176233,18.55565112856671,0.19837393747504536,79.94707825136553,32.543258098178896,47.40382015318663,50.0,5.0,15.761473027501973,12.245007357777475,4.012412293884628,16.652541484436977,0.7410969272800343,0.833566383382638,0.6524579974838753,0.3995763270574179,74.94707825136553,0.43421650126282224
DC-C,SBVCHP_SBORC,R1233zd(E),R227ea,0.4654813184232625,14.357878146061159,0.2213429296767355,86.01828556934426,25.2811403121947,60.73714525714956,50.0,5.0,12.927098708526124,13.205733500937573,2.4980302172291156,21.371429934116286,0.8480744294941869,0.8090621105107144,0.6199414734212361,0.44456983156618257,81.01828556934426,0.31204240048447274
DC-C,SBVCHP_SBORC,R1233zd(E),R134a,0.32486935429809427,33.86939905892866,0.19011185132253927,119.6680135674636,60.182241198328434,59.48577236913517,50.0,5.0,9.390448871548081,14.170190123679236,6.069821494178837,27.88471205588398,0.6744122792999973,0.7951526051624234,0.5851876257331536,0.6075627491922604,114.6680135674636,0.5248389618515621
DC-C,SBVCHP_SBORC,R1233zd(E),R134a,0.4357923019024842,14.513007201525753,0.19129975209028557,97.06312902766764,25.681548051212502,71.38158097645514,50.0,5.0,8.145261052712485,14.525961326542916,9.37935518176029,20.05638003568682,0.8152170584997072,0.8252231881129957,0.5162762600958979,0.5112049690764237,92.06312902766764,0.2789558460857272
DC-C,SBVCHP_SBORC,R1233zd(E),R134a,0.3773456387704829,30.181519030194284,0.1905962398743474,103.81180697637917,53.30393302352039,50.50787395285878,50.0,5.0,10.588985592482954,11.460224032237662,8.186792748285814,27.017623275427162,0.8018421745528311,0.8306697778060407,0.6561755126582098,0.5445888363244162,98.81180697637917,0.5394490259272622
DC-C,SBVCHP_SBORC,R1233zd(E),R134a,0.3095608239849061,32.676077436236255,0.21050961581608676,106.01630018040706,57.72647423504096,48.2898259453661,50.0,5.0,18.19746409955544,12.601007162720258,4.443429941971878,24.231765381685857,0.8111703218478042,0.8127795164806679,0.5758618821841684,0.5545273394528053,101.01630018040706,0.5714570235887285
DC-C,SBVCHP_SBORC,R1233zd(E),R134a,0.2836726624782206,37.60405598110689,0.14229539151077175,111.69597523008704,66.51383706349706,45.18213816658998,50.0,5.0,8.642835996543536,5.057796807307708,6.44336727121341,26.4730392442623,0.755243701533666,0.7577316035234085,0.5256807284510161,0.5782408858163703,106.69597523008704,0.6233959333523288
DC-C,SBVCHP_SBORC,R1233zd(E),R134a,0.24200171177535046,38.685646830488956,0.1736061578872594,107.94412867154028,68.29856642666323,39.645562244877055,50.0,5.0,19.229371320000325,9.05087518596026,2.860044618682571,19.029288833840653,0.8307072527221522,0.818372422370999,0.6362049538959794,0.562869679109338,102.94412867154028,0.6634527612990998
DC-C,SBVCHP_SBORC,R1233zd(E),R152a,0.4170682859196062,14.62187459830705,0.1991510584344777,87.4700196908591,25.76037225583804,61.70964743502107,50.0,5.0,11.980937285372516,3.3461239308757085,6.974770076663293,21.017596373184375,0.8148387245058486,0.740751131635967,0.6649352901297736,0.45434716556775895,82.4700196908591,0.3123604474983931
DC-C,SBVCHP_SBORC,R245fa,R1234ze(E),0.3611132961236118,28.314958624437196,0.233086756527766,100.57564083226514,49.96219102119177,50.613449811073366,50.0,5.0,17.747140145925698,13.232068776374744,5.210480669540748,28.848363455831596,0.8162158179023898,0.8440731300302556,0.7226581643979219,0.5291687337051203,95.57564083226514,0.522750259230542
DC-C,SBVCHP_SBORC,R245fa,R1234ze(E),0.38625314211635525,17.81528095584685,0.2035335581404543,94.84368079922777,31.456959478557227,63.386721320670546,50.0,5.0,11.123338648617523,12.11267236234558,5.864829561066245,12.36760909888966,0.7855332446990433,0.7890545611907509,0.7447002112313853,0.49913004899520114,89.84368079922777,0.3501299056174422
DC-C,SBVCHP_SBORC,R245fa,R227ea,0.3203966608681079,29.331645668935288,0.22218573245893183,101.78931260109317,51.76903944550784,50.02027315558533,50.0,5.0,19.43610260708288,14.203169069885918,4.493147343008319,20.471038875013395,0.8344805528649029,0.8219538618355614,0.518105659452185,0.5350726357003619,96.78931260109317,0.5348631791494214
DC-C,SBVCHP_SBORC,R245fa,R134a,0.19896053130144262,39.088456819764374,0.15160622314410946,118.29999644597982,69.31531180448673,48.98468464149309,50.0,5.0,14.461817728486682,2.4693250289653697,3.723912293996421,12.18203387041113,0.7201167087873356,0.7074215962423716,0.5885952373386679,0.6028243476472173,113.29999644597982,0.6117856485329679
