wp,config,fluid_hp,fluid_he,eta_P2P,E_dens_th,eta_II,T_st_ht,dT_st_sp,T_st_lt,T_hp_cs,T_he_cs,dT_hp_cs_gl,dT_hp_ev_sh,dT_he_ev_sh,dT_hp_cd_sc,eta_max_cp,eta_max_ex,eta_pm,dT_HP_rel,dT_ORC,dT_TES_rel_sp
DC-C,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.34686556192084206,29.45664860692899,0.19340494215152193,107.58143696232577,52.121940494704965,55.4594964676208,50.0,5.0,10.388571968975954,11.354004424803039,8.661127938725372,17.214466746213088,0.7404142283412201,0.817911332050472,0.6482959797005267,0.5613241407748385,102.58143696232577,0.5081030451332765
DC-C,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.3350232949829962,22.538302735906022,0.24481531514749572,116.99828636930111,40.14198159853962,76.85630477076148,50.0,5.0,15.98081855925987,11.798703947519822,3.0822676741562383,9.093277207742467,0.8310255140400628,0.8100689016885215,0.5473854630511037,0.59820813818867,111.99828636930111,0.3584160338505197
DC-C,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.4612084439762961,14.58756114450642,0.13950181705553877,87.10764497573884,25.696053380263645,61.41159159547519,50.0,5.0,5.720782612063725,14.870604898017815,4.409800631860458,21.773094363865795,0.82774185266642,0.7933694967699212,0.7306101896806397,0.4519389758006505,82.10764497573884,0.3129556740770767
DC-C,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.3618482674981392,17.605326846668557,0.22223424482184675,97.56093153964346,31.126987394272966,66.4339441453705,50.0,5.0,15.741209368866008,2.6165704614300958,8.417782665771664,23.273612122139042,0.8258730136528188,0.6874767690504272,0.7226562466138395,0.5138337606214919,92.56093153964346,0.3362864534367981
DC-C,SBVCHP_SRORC,R1233zd(E),R227ea,0.425152455210028,15.784025937576633,0.13286481153223276,70.69363842381665,27.599033286808154,43.0946051370085,50.0,5.0,9.193723818442166,2.332437790640549,1.9440286482403613,22.715396193775515,0.7269709751016717,0.8449014968520668,0.5326822482434824,0.31500216642460094,65.69363842381665,0.42011728911642027
DC-C,SBVCHP_SRORC,R1233zd(E),R227ea,0.3640701829385205,18.55565112856671,0.19757681634600474,79.94707825136553,32.543258098178896,47.40382015318663,50.0,5.0,15.761473027501973,12.245007357777475,4.012412293884628,16.652541484436977,0.7410969272800343,0.833566383382638,0.6524579974838753,0.3995763270574179,74.94707825136553,0.43421650126282224
DC-C,SBVCHP_SRORC,R1233zd(E),R227ea,0.49121663572570773,14.357878146061159,0.23358043589326621,86.01828556934426,25.2811403121947,60.73714525714956,50.0,5.0,12.927098708526124,13.205733500937573,2.4980302172291156,21.371429934116286,0.8480744294941869,0.8090621105107144,0.6199414734212361,0.44456983156618257,81.01828556934426,0.31204240048447274
DC-C,SBVCHP_SRORC,R1233zd(E),R227ea,0.321842692958291,30.012387048532734,0.2083015868432254,115.26638576195933,53.28209916322983,61.9842865987295,50.0,5.0,11.390659993620968,11.675368892178609,4.416796078319866,10.776929431982445,0.6902202733771764,0.7666617397186782,0.7196883686493079,0.5918973884104171,110.26638576195933,0.4832125293219827
DC-C,SBVCHP_SRORC,R1233zd(E),R227ea,0.38961269932167003,25.148826229076395,0.14345642317265248,102.40332861597349,44.453142074272904,57.95018654170059,50.0,5.0,6.200801006862235,6.294564172929883,7.434261671340993,18.32677151033579,0.8103382467845043,0.7374538830370759,0.7253378689567062,0.5380034682652488,97.40332861597349,0.4563821658450273
DC-C,SBVCHP_SRORC,R1233zd(E),R134a,0.3268995031284084,33.86939905892866,0.19129988382694457,119.6680135674636,60.182241198328434,59.48577236913517,50.0,5.0,9.390448871548081,14.170190123679236,6.069821494178837,27.88471205588398,0.6744122792999973,0.7951526051624234,0.5851876257331536,0.6075627491922604,114.6680135674636,0.5248389618515621
