wp,config,fluid_hp,fluid_he,eta_P2P,E_dens_th,eta_II,T_st_ht,dT_st_sp,T_st_lt,T_hp_cs,T_he_cs,dT_hp_cs_gl,dT_hp_ev_sh,dT_he_ev_sh,dT_hp_cd_sc,eta_max_cp,eta_max_ex,eta_pm,dT_HP_rel,dT_ORC,dT_TES_rel_sp
DC-C,SRVCHP_SBORC,R1233zd(E),R1234ze(E),0.4549806199947625,28.21956427104315,0.18302206105166,124.45824346186743,50.341016882394534,74.11722657947288,50.0,5.0,5.546539176509149,9.137273454501535,9.988745727172024,7.11617805806113,0.7804277562873351,0.8286562209520223,0.7276011893934029,0.6232993329224319,119.45824346186743,0.4214109920213587
DC-C,SRVCHP_SBORC,R1233zd(E),R1234ze(E),0.44766653983385685,13.747492714222558,0.2600082528431871,102.1287129484661,24.391159970352536,77.73755297811357,50.0,5.0,13.717696250429729,2.2496177289251125,3.5586097237796857,6.648172358427196,0.8133239393071454,0.8063141958797893,0.6946506441848865,0.5366972480745648,97.1287129484661,0.25112203415372997
DC-C,SRVCHP_SBORC,R1233zd(E),R1234ze(E),0.41350194963059933,22.538302735906022,0.2714893734757577,116.99828636930111,40.14198159853962,76.85630477076148,50.0,5.0,15.98081855925987,11.798703947519822,3.0822676741562383,9.093277207742467,0.8310255140400628,0.8100689016885215,0.5473854630511037,0.59820813818867,111.99828636930111,0.3584160338505197
DC-C,SRVCHP_SBORC,R1233zd(E),R1234ze(E),0.4305672972897905,23.7821510459692,0.1967127375487811,121.17948412028464,42.4223857962495,78.75709832403514,50.0,5.0,7.980914917871512,3.442883288146895,9.62255115108826,16.348020416190067,0.8489501759227231,0.7253433134249534,0.6717425109416346,0.6126682749476668,116.17948412028464,0.3651452415843759
DC-C,SRVCHP_SBORC,R1233zd(E),R227ea,0.48971109725703826,14.357878146061159,0.22528429578585923,86.01828556934426,25.2811403121947,60.73714525714956,50.0,5.0,12.927098708526124,13.205733500937573,2.4980302172291156,21.371429934116286,0.8480744294941869,0.8090621105107144,0.6199414734212361,0.44456983156618257,81.01828556934426,0.31204240048447274
DC-C,SRVCHP_SBORC,R1233zd(E),R134a,0.4714200708607953,14.513007201525753,0.19513950852870643,97.06312902766764,25.681548051212502,71.38158097645514,50.0,5.0,8.145261052712485,14.525961326542916,9.37935518176029,20.05638003568682,0.8152170584997072,0.8252231881129957,0.5162762600958979,0.5112049690764237,92.06312902766764,0.2789558460857272
DC-C,SRVCHP_SBORC,R1233zd(E),R134a,0.3006215911789359,38.685646830488956,0.19633661050488346,107.94412867154028,68.29856642666323,39.645562244877055,50.0,5.0,19.229371320000325,9.05087518596026,2.860044618682571,19.029288833840653,0.8307072527221522,0.818372422370999,0.6362049538959794,0.562869679109338,102.94412867154028,0.6634527612990998
DC-C,SRVCHP_SBORC,R1233zd(E),R152a,0.3237730678958467,36.43795715942017,0.21683704182958302,113.41113590018173,64.51890827659554,48.892227623586194,50.0,5.0,17.949651281525664,5.329244417916676,7.904755820148103,7.958916811300993,0.7882371404468649,0.8073738563097144,0.6793301988887754,0.5849134904237769,108.41113590018173,0.5951317430711228
DC-C,SRVCHP_SBORC,R1233zd(E),R152a,0.4524956841734695,14.62187459830705,0.20468640741198926,87.4700196908591,25.76037225583804,61.70964743502107,50.0,5.0,11.980937285372516,3.3461239308757085,6.974770076663293,21.017596373184375,0.8148387245058486,0.740751131635967,0.6649352901297736,0.45434716556775895,82.4700196908591,0.3123604474983931
DC-C,SRVCHP_SBORC,R245fa,R1234ze(E),0.40416245358160785,28.314958624437196,0.2468906755742026,100.57564083226514,49.96219102119177,50.613449811073366,50.0,5.0,17.747140145925698,13.232068776374744,5.210480669540748,28.848363455831596,0.8162158179023898,0.8440731300302556,0.7226581643979219,0.5291687337051203,95.57564083226514,0.522750259230542
DC-C,SRVCHP_SBORC,R245fa,R1234ze(E),0.44248246294058596,17.81528095584685,0.2135736806032468,94.84368079922777,31.456959478557227,63.386721320670546,50.0,5.0,11.123338648617523,12.11267236234558,5.864829561066245,12.36760909888966,0.7855332446990433,0.7890545611907509,0.7447002112313853,0.49913004899520114,89.84368079922777,0.3501299056174422
DC-C,SRVCHP_SBORC,R245fa,R227ea,0.3773753015129584,29.331645668935288,0.24331753553942895,101.78931260109317,51.76903944550784,50.02027315558533,50.0,5.0,19.43610260708288,14.203169069885918,4.493147343008319,20.471038875013395,0.8344805528649029,0.8219538618355614,0.518105659452185,0.5350726357003619,96.78931260109317,0.5348631791494214
DC-C,SRVCHP_SBORC,R245fa,R227ea,0.3573064498978885,36.315928213919705,0.12663411526046836,115.38279601064389,64.36127009930253,51.02152591134136,50.0,5.0,5.23828886312955,3.645263021134426,1.2170650131301375,7.198521005028574,0.6912903058299781,0.7133525592504764,0.7407966390394803,0.592327775465474,110.38279601064389,0.5830733812277809
DC-C,SRVCHP_SBORC,R245fa,R227ea,0.5019306241265445,22.383894195948347,0.18405560281858455,100.14227656982084,39.559686030120965,60.58259053969987,50.0,5.0,7.519776497214613,4.260043717301134,8.270098711745145,11.642760547431887,0.8492633151970661,0.8450567001655162,0.6894115506569034,0.5270241408720504,95.14227656982084,0.41579503304285353
DC-C,SRVCHP_SBORC,R245fa,R227ea,0.38912316268099234,27.371302094636757,0.2654385812897852,115.90434110171182,48.64734981424452,67.2569912874673,50.0,5.0,17.370018556680574,6.461994743695757,5.7131890135170105,8.781250177136972,0.7940005362271894,0.8261739151856285,0.5522425940487092,0.5942449181612295,110.90434110171182,0.4386424312248463
DC-C,SRVCHP_SBORC,R245fa,R134a,0.44009521902043935,32.67845819192919,0.14675547252638022,116.17087213604884,57.993554620676896,58.177317515371946,50.0,5.0,5.4293932995448575,4.223772467009439,8.633122854428017,14.264381076894695,0.8269017525596585,0.7923572695360582,0.5462934638405228,0.5952177118397539,111.17087213604884,0.5216614163978625
DC-C,SRVCHP_SBORC,R245fa,R134a,0.294608112816904,39.088456819764374,0.1873276698996371,118.29999644597982,69.31531180448673,48.98468464149309,50.0,5.0,14.461817728486682,2.4693250289653697,3.723912293996421,12.18203387041113,0.7201167087873356,0.7074215962423716,0.5885952373386679,0.6028243476472173,113.29999644597982,0.6117856485329679
DC-C,SRVCHP_SBORC,R245fa,R134a,0.3510667416222967,38.6318114307841,0.21136500248277756,125.44038590490223,68.73392975107943,56.7064561538228,50.0,5.0,13.137448058240143,5.5649799873617996,7.566977603438965,29.626577346396093,0.779550573588152,0.688418137079077,0.6658706819587816,0.6263711739056427,120.44038590490223,0.570688388572174
DC-C,SRVCHP_SBORC,R245fa,R152a,0.42804480516871407,14.461821594116685,0.25483183810274085,91.9354655235713,25.531252595548104,66.40421292802318,50.0,5.0,16.570262672185155,9.990475641580236,6.64865611204065,7.714803549322976,0.8125891452172099,0.7938606408996856,0.6300630793683586,0.48237465884623465,86.9354655235713,0.293680518552301
DC-C,SRVCHP_SBORC,R600,R1234ze(E),0.3998822620463467,20.589264775402825,0.2742249472296862,114.07208334632332,36.645051793744045,77.42703155257928,50.0,5.0,16.25930165438539,14.994891447597137,5.819317078503143,6.949944231218561,0.7236009523525488,0.8298803195962424,0.6773301366238629,0.5874288028668438,109.07208334632332,0.33597095305669983
DC-C,SRVCHP_SBORC,R600,R1234ze(E),0.1327673928823748,39.7577699788572,0.07311050280347157,97.58067639943795,69.87546045622625,27.705215943211698,50.0,5.0,15.017879097773294,10.012932698639794,5.186025986294386,18.704638053805635,0.7791437448964167,0.6987475044754031,0.7485317573892029,0.5139374462350202,92.58067639943795,0.754752105663493
DC-C,SRVCHP_SBORC,R600,R1234ze(E),0.4223919987455199,36.309872532382315,0.23466118892556956,126.69977490668191,64.68143748300389,62.01833742367802,50.0,5.0,9.964009832718169,5.162582171511,6.183113283769675,5.083018782332011,0.7503651838270275,0.8251590374829986,0.7420524471460244,0.6302376069758098,121.69977490668191,0.531483624621335
DC-C,SRVCHP_SBORC,R600,R1234ze(E),0.5003823306231298,22.711849943327916,0.1789478612125894,110.75647858880583,40.33108513738712,70.42539345141871,50.0,5.0,6.169162752710454,2.412644152844301,9.7235909106855,19.11145480836214,0.8189221130274894,0.813540267812881,0.7002885933928201,0.5744941529779417,105.75647858880583,0.3813580565045034
DC-C,SRVCHP_SBORC,R600,R227ea,0.4280466791123195,16.486820355546655,0.2529980334528476,88.45868449223968,29.04064635774317,59.41803813449651,50.0,5.0,17.648928989057623,12.236859244036227,4.418080107846291,9.612705970269088,0.823362126385561,0.8250822985682149,0.7443726814046814,0.46081105550873763,83.45868449223968,0.3479643434883458
DC-C,SRVCHP_SBORC,R600,R134a,0.35427048920924137,36.546210563596134,0.13436698460153398,115.15205968742094,64.75880754801679,50.393252139404154,50.0,5.0,6.936211647511514,4.855741659234669,2.9577999241938793,27.509156228580487,0.8250745169588304,0.6774930448812049,0.629377797670958,0.5914738214818976,110.15205968742094,0.5879037371773455
DC-C,SRVCHP_SBORC,R600,R134a,0.42430918331500994,29.47280149809363,0.16834894322512367,109.13270920859082,52.18673487721691,56.94597433137392,50.0,5.0,7.444996334674537,5.293989998961786,9.300252770547615,8.876206614009922,0.8275073952186092,0.7798316735826414,0.6022374945308298,0.5678591257060317,104.13270920859082,0.5011560274752898
DC-C,SRVCHP_SBORC,R600,R134a,0.5326535712527452,13.818975019356936,0.16090223192199915,85.77673565206058,24.334080376958724,61.442655275101856,50.0,5.0,7.121700933059012,2.2292883059811115,4.317849029324362,17.91644108664359,0.8152540771567619,0.7973853621374778,0.7427987849711408,0.44290890642283504,80.77673565206058,0.3012510988532126
