wp,config,fluid_hp,fluid_he,eta_P2P,E_dens_th,eta_II,T_st_ht,dT_st_sp,T_st_lt,T_hp_cs,T_he_cs,dT_hp_cs_gl,dT_hp_ev_sh,dT_he_ev_sh,dT_hp_cd_sc,eta_max_cp,eta_max_ex,eta_pm,dT_HP_rel,dT_ORC,dT_TES_rel_sp
DC-D,SRVCHP_SRORC,R1233zd(E),R1234ze(E),0.3554268430012867,28.213905924468833,0.20935324668623628,124.88453242633915,50.341016882394534,74.54351554394461,55.0,25.0,5.546539176509149,9.137273454501535,9.988745727172024,7.11617805806113,0.7804277562873351,0.8286562209520223,0.7276011893934029,0.6996531968338161,99.88453242633915,0.5039921162920697
DC-D,SRVCHP_SRORC,R1233zd(E),R1234ze(E),0.34502635812760635,13.733602664359676,0.2588392753063374,104.2726581062764,24.391159970352536,79.88149813592386,55.0,25.0,13.717696250429729,2.2496177289251125,3.5586097237796857,6.648172358427196,0.8133239393071454,0.8063141958797893,0.6946506441848865,0.6215593028332582,79.2726581062764,0.3076869194628579
DC-D,SRVCHP_SRORC,R1233zd(E),R1234ze(E),0.31967996760112066,22.52766580891864,0.2570365296217986,117.99841818704718,40.14198159853962,77.85643658850756,55.0,25.0,15.98081855925987,11.798703947519822,3.0822676741562383,9.093277207742467,0.8310255140400628,0.8100689016885215,0.5473854630511037,0.6774138680546031,92.99841818704718,0.4316415524165399
DC-D,SRVCHP_SRORC,R1233zd(E),R134a,0.28807302972635174,29.458525485871725,0.16098761052575541,122.06521033263968,52.47205534935541,69.59315498328428,55.0,25.0,5.536238366526203,5.831448518577325,9.222634155946091,18.287864943445502,0.7598439552547679,0.6834159324705779,0.740223771829792,0.6909294288119208,97.06521033263968,0.5405856039412595
DC-D,SRVCHP_SRORC,R245fa,R1234ze(E),0.3700577544777781,24.570724038289598,0.2518973203959192,125.41358777879255,43.904310479499756,81.50927729929279,55.0,25.0,8.244648439499956,4.737750131935163,6.935943576213431,23.71912818119517,0.7461211492689857,0.8121058406363728,0.6718425362591942,0.7012356528272956,100.41358777879255,0.4372347552825156
DC-D,SRVCHP_SRORC,R245fa,R1234ze(E),0.3711506192582812,12.810015075678637,0.23077689748446925,105.96416416380916,22.776829846795213,83.18733431701395,55.0,25.0,7.429110098700587,6.7209306142843985,3.6603396818619376,16.54793050462736,0.6929288427453573,0.8279026018343199,0.7471075354932327,0.6294656986848763,80.96416416380916,0.2813198911151906
DC-D,SRVCHP_SRORC,R245fa,R227ea,0.38030402263373453,24.500294848285243,0.21907921653523266,118.23649559785534,43.632723177225486,74.60377242062985,55.0,25.0,5.883731323501186,2.9113439234701444,5.40173936563735,17.430756806633923,0.7398627098658761,0.8391563954019048,0.6227769867108837,0.6782375848895583,93.23649559785534,0.4679790129116473
DC-D,SRVCHP_SRORC,R245fa,R134a,0.19648241971264355,38.62559352199732,0.150084138968982,125.79112545067899,68.73392975107943,57.05719569959956,55.0,25.0,13.137448058240143,5.5649799873617996,7.566977603438965,29.626577346396093,0.779550573588152,0.688418137079077,0.6658706819587816,0.7023547473464797,100.79112545067899,0.6819442628876449
DC-D,SRVCHP_SRORC,R600,R1234ze(E),0.3129949747047728,20.57735391625487,0.2580305101673053,115.29730770429845,36.645051793744045,78.6522559105544,55.0,25.0,16.25930165438539,14.994891447597137,5.819317078503143,6.949944231218561,0.7236009523525488,0.8298803195962424,0.6773301366238629,0.6677641807633662,90.29730770429845,0.405826626788781
DC-D,SRVCHP_SRORC,R600,R1234ze(E),0.2797910159674812,36.30560042726512,0.203322572740593,126.9536383753987,64.68143748300389,62.27220089239481,55.0,25.0,9.964009832718169,5.162582171511,6.183113283769675,5.083018782332011,0.7503651838270275,0.8251590374829986,0.7420524471460244,0.7057486081120674,101.9536383753987,0.6344201002895395
DC-D,SRVCHP_SRORC,R600,R1234ze(E),0.29900015170143923,29.248343159467225,0.21675862727077716,121.60383320976868,52.08996553973267,69.513867670036,55.0,25.0,10.313041073693459,6.072259543131719,4.168480354768873,15.513618545795408,0.7410953130119788,0.7955295847289373,0.584851179009299,0.6894533166726725,96.60383320976868,0.5392122010999588
