wp,config,fluid_hp,fluid_he,eta_P2P,E_dens_th,eta_II,T_st_ht,dT_st_sp,T_st_lt,T_hp_cs,T_he_cs,dT_hp_cs_gl,dT_hp_ev_sh,dT_he_ev_sh,dT_hp_cd_sc,eta_max_cp,eta_max_ex,eta_pm,dT_HP_rel,dT_ORC,dT_TES_rel_sp
DC-E,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.3823124716752965,32.947452831333095,0.19012365549611732,115.66050216353258,58.452875608433594,57.20762655509899,65.0,5.0,14.59836269302312,6.460663041612177,8.149732036831892,12.571265589364925,0.7987653081347649,0.8092295821113834,0.6138963804191071,0.45780112301195947,110.66050216353258,0.5282180585269054
DC-E,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.316221618512686,44.88749017224564,0.14309576077591032,126.0248799228823,79.75997216803297,46.26490775484933,65.0,5.0,13.361276772187539,14.234417248761918,4.124639131572794,29.542745175969234,0.796049646953484,0.6973890168866406,0.5472209694019757,0.5042341703769314,121.0248799228823,0.6590378128766288
DC-E,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.5542594793873084,21.96101650756732,0.17047152779091163,110.77086544141481,39.007893995236806,71.762971446178,65.0,5.0,9.30596404223402,14.643693076078051,9.490786852933438,29.97247747228043,0.810532821718285,0.7905764654218572,0.7293609893632845,0.43273603983855774,105.77086544141481,0.3687962070882629
DC-E,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.5244616340017759,25.008523120718912,0.15198328703389793,103.62572994941665,44.23147043874074,59.39425951067591,65.0,5.0,9.918762796646337,9.952329826277186,6.417687077608883,20.33232963973539,0.7942657976949078,0.7939207495065859,0.6610965752841627,0.39163948362386863,98.62572994941665,0.4484780032697985
DC-E,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.3754812144673075,20.36813633136033,0.23494264265293155,120.62032502686971,36.36595659041037,84.25436843645934,65.0,5.0,18.772295763170085,4.160514230042814,6.560328002667095,11.721197941443048,0.7875209485676107,0.766174197047937,0.7379110944860655,0.4810600991992002,115.62032502686971,0.3145290984258958
DC-E,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.44663913902148,32.740602201797955,0.12722036289469787,119.29163915679806,58.18554911679428,61.10609004000378,65.0,5.0,7.0031979079201,4.326283133608273,4.222805655489861,23.88366859494148,0.7630313859611221,0.7773918729765412,0.6075524768041245,0.47502721596559405,114.29163915679806,0.509097161840236
DC-E,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.6198773649400391,15.099928691077123,0.088014834085958,86.1302975497604,26.582427539492137,59.54787001026826,65.0,5.0,6.746817817413232,9.656890353749958,1.0576934450563438,23.100651158453278,0.8258022259780107,0.6799349943203392,0.7255406650707217,0.2604489098144914,81.1302975497604,0.3276510544434783
DC-E,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.3715839147749372,38.784740260573045,0.2082965286855368,123.85761051930294,68.95373911102953,54.9038714082734,65.0,5.0,18.939741718512078,10.969361405539903,6.919614253120734,27.785735674581712,0.8461142927502574,0.7629610415154043,0.5899884282244653,0.495194293929914,118.85761051930294,0.5801373493019295
DC-E,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.577669774796449,21.20706743982437,0.1643979010177468,95.95553832009834,37.42321390114218,58.532324418956165,65.0,5.0,10.781961628511372,3.1473844568677167,6.114239909740435,24.03324600365856,0.7564147060694452,0.8472174945183426,0.6709754683765994,0.3403370360049656,90.95553832009834,0.41144513673746036
DC-E,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.5565086751262702,17.196116124475598,0.20624838222498504,84.32331544262078,30.22799070835199,54.09532473426879,65.0,5.0,18.69518017994326,14.955312002998127,7.750294480087506,17.53742705615825,0.8185467470238509,0.8384744377033622,0.5200209154384422,0.2436019641236311,79.32331544262078,0.38107321333810956
