wp,config,fluid_hp,fluid_he,eta_P2P,E_dens_th,eta_II,T_st_ht,dT_st_sp,T_st_lt,T_hp_cs,T_he_cs,dT_hp_cs_gl,dT_hp_ev_sh,dT_he_ev_sh,dT_hp_cd_sc,eta_max_cp,eta_max_ex,eta_pm,dT_HP_rel,dT_ORC,dT_TES_rel_sp
DC-E,SRVCHP_SRORC,R1233zd(E),R1234ze(E),0.4892499372368078,32.947452831333095,0.20362902206511746,115.66050216353258,58.452875608433594,57.20762655509899,65.0,5.0,14.59836269302312,6.460663041612177,8.149732036831892,12.571265589364925,0.7987653081347649,0.8092295821113834,0.6138963804191071,0.45780112301195947,110.66050216353258,0.5282180585269054
DC-E,SRVCHP_SRORC,R1233zd(E),R1234ze(E),0.36633977097431275,44.88749017224564,0.1483689794010553,126.0248799228823,79.75997216803297,46.26490775484933,65.0,5.0,13.361276772187539,14.234417248761918,4.124639131572794,29.542745175969234,0.796049646953484,0.6973890168866406,0.5472209694019757,0.5042341703769314,121.0248799228823,0.6590378128766288
DC-E,SRVCHP_SRORC,R1233zd(E),R1234ze(E),0.41079699391186925,39.19236738307637,0.22903550716569623,126.59327830601832,69.75728568592248,56.83599262009584,65.0,5.0,19.423529584993233,4.38159360525372,6.787047242486545,5.277258743451043,0.7494352408038678,0.7711146431549682,0.676362333673509,0.5065516709813862,121.59327830601832,0.5736936009765419
DC-E,SRVCHP_SRORC,R1233zd(E),R1234ze(E),0.47833022556813176,20.36813633136033,0.2592457597585391,120.62032502686971,36.36595659041037,84.25436843645934,65.0,5.0,18.772295763170085,4.160514230042814,6.560328002667095,11.721197941443048,0.7875209485676107,0.766174197047937,0.7379110944860655,0.4810600991992002,115.62032502686971,0.3145290984258958
DC-E,SRVCHP_SRORC,R1233zd(E),R1234ze(E),0.4564541130230826,40.846757361922585,0.14593328776530803,125.64431416066928,72.63918628344341,53.005127877225874,65.0,5.0,8.01957927842771,11.268228924664813,3.6036314215989416,13.098463207595218,0.6687137753052812,0.8250058638232849,0.7163929863821591,0.5026703047099725,120.64431416066928,0.6020937396743409
DC-E,SRVCHP_SRORC,R1233zd(E),R1234ze(E),0.44648497229042233,38.784740260573045,0.22296242725272555,123.85761051930294,68.95373911102953,54.9038714082734,65.0,5.0,18.939741718512078,10.969361405539903,6.919614253120734,27.785735674581712,0.8461142927502574,0.7629610415154043,0.5899884282244653,0.495194293929914,118.85761051930294,0.5801373493019295
DC-E,SRVCHP_SRORC,R1233zd(E),R1234ze(E),0.6245105202405574,21.20706743982437,0.16607204559446015,95.95553832009834,37.42321390114218,58.532324418956165,65.0,5.0,10.781961628511372,3.1473844568677167,6.114239909740435,24.03324600365856,0.7564147060694452,0.8472174945183426,0.6709754683765994,0.3403370360049656,90.95553832009834,0.41144513673746036
DC-E,SRVCHP_SRORC,R1233zd(E),R227ea,0.5989120560589569,18.78730351218651,0.2590509604971528,104.30839562750073,33.30674249312453,71.0016531343762,65.0,5.0,17.324602685417183,9.374765040633253,7.66048611062346,27.185601213282155,0.7860033510942642,0.8385070522412176,0.6130032208294403,0.3958214749027256,99.30839562750073,0.33538697592151157
DC-E,SRVCHP_SRORC,R1233zd(E),R227ea,0.32500634037313186,44.76770877818059,0.1662732747631412,123.93790755972896,79.47614878070328,44.46175877902567,65.0,5.0,17.225371610131408,7.455487541910078,5.065232573773483,12.722694335134713,0.6889007223366143,0.6824283996012986,0.7096690066465674,0.4955350970011908,118.93790755972896,0.6682154614229401
DC-E,SRVCHP_SRORC,R1233zd(E),R227ea,0.5988209883492794,29.37703961153739,0.21015542112396357,112.91903741801161,52.108185887032164,60.81085153097945,65.0,5.0,12.72944883496217,12.167839022880594,8.967615042317615,20.919713931766545,0.8447613146403562,0.8461118272847485,0.5537746867020767,0.444027657811688,107.91903741801161,0.4828451692466203
DC-E,SRVCHP_SRORC,R1233zd(E),R227ea,0.48044086262050323,39.1743303922852,0.1965781051014005,122.27964541005315,69.58972551688203,52.68991989317112,65.0,5.0,13.120957006319212,5.457650449500613,5.65297326318108,18.312769893945486,0.7522161620690743,0.7821343262583129,0.729653025896535,0.4884022731291714,117.27964541005315,0.5933657564666958
DC-E,SRVCHP_SRORC,R1233zd(E),R227ea,0.48894267469185626,36.27309262875315,0.1769117474583473,110.71541591739151,64.15342607329704,46.56198984409447,65.0,5.0,13.472468906665437,10.949028882948138,3.1376953184543144,26.6115590819718,0.7910196403149752,0.8456688818295072,0.5210972487112746,0.43243850029511877,105.71541591739151,0.6068502452227783
DC-E,SRVCHP_SRORC,R1233zd(E),R227ea,0.5750119295114842,39.24334125517421,0.17483836250766863,127.18803011483251,69.86593681660813,57.32209329822439,65.0,5.0,8.908748298788277,4.317730129149802,7.023455857533124,16.000557473751925,0.8271771021796122,0.7863531373240372,0.7315535899216612,0.5089535370722329,122.18803011483251,0.571790352548838
