wp,config,fluid_hp,fluid_he,eta_P2P,E_dens_th,eta_II,T_st_ht,dT_st_sp,T_st_lt,T_hp_cs,T_he_cs,dT_hp_cs_gl,dT_hp_ev_sh,dT_he_ev_sh,dT_hp_cd_sc,eta_max_cp,eta_max_ex,eta_pm,dT_HP_rel,dT_ORC,dT_TES_rel_sp
DC-F,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.291238249859871,32.840744982029705,0.16889314209852627,122.68879364990487,58.452875608433594,64.23591804147128,75.0,25.0,14.59836269302312,6.460663041612177,8.149732036831892,12.571265589364925,0.7987653081347649,0.8092295821113834,0.6138963804191071,0.4881705656107394,97.68879364990487,0.5983580452218075
DC-F,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.27260350076944173,34.40195519987656,0.16142045016357257,125.12058044670857,61.271991889552744,63.84858855715583,75.0,25.0,14.266481653659188,12.376067554445921,1.6640777641661941,12.800561809965599,0.6765620828665624,0.7572970887718445,0.7440278275849713,0.5006021761268791,100.12058044670857,0.611981988280283
DC-F,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.16474895785939636,42.151639369086084,0.09883718346960672,123.73293226055326,74.87113432192112,48.86179793863214,75.0,25.0,14.476021790875258,7.7434701799311245,1.4879501335764955,8.5195487806915,0.7300228551981274,0.8194841459491993,0.7088465378526019,0.49358335810333787,98.73293226055326,0.7583197683660243
DC-F,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.3998834878241649,24.9159997299593,0.14544690702618587,111.6569191202986,44.23147043874074,67.42544868155785,75.0,25.0,9.918762796646337,9.952329826277186,6.417687077608883,20.33232963973539,0.7942657976949078,0.7939207495065859,0.6610965752841627,0.42301202826528883,86.6569191202986,0.5104205283058572
DC-F,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.21108058959439713,40.23263932560496,0.11695749225395606,126.79309933966685,71.59558495970248,55.197514379964375,75.0,25.0,10.818912306848318,4.5987779472517225,2.096047019790853,8.471461022032702,0.6527106284935801,0.8026835649468226,0.5316800655335309,0.5088075682501992,101.79309933966685,0.7033441895781144
DC-F,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.35393230620148675,32.63838531437551,0.12520184224201686,126.01733589373156,58.18554911679428,67.83178677693728,75.0,25.0,7.0031979079201,4.326283133608273,4.222805655489861,23.88366859494148,0.7630313859611221,0.7773918729765412,0.6075524768041245,0.5050354520079691,101.01733589373156,0.5759956803652438
DC-F,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.4570669622487266,15.034901740047628,0.08787493299346859,95.6194394206137,26.582427539492137,69.03701188112157,75.0,25.0,6.746817817413232,9.656890353749958,1.0576934450563438,23.100651158453278,0.8258022259780107,0.6799349943203392,0.7255406650707217,0.2919796530499635,70.6194394206137,0.3764179913857086
DC-F,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.43330059001784876,21.122964907654932,0.15646622099032603,104.62591012675682,37.42321390114218,67.20269622561464,75.0,25.0,10.781961628511372,3.1473844568677167,6.114239909740435,24.03324600365856,0.7564147060694452,0.8472174945183426,0.6709754683765994,0.37206369232822845,79.62591012675682,0.46998789516588263
DC-F,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.1971146063589034,41.149717425378576,0.1167804196595231,124.51014655361749,73.13504200145066,51.37510455216683,75.0,25.0,15.909125259484615,12.552868686807402,3.789121680746549,13.311728721240662,0.7928622522975162,0.760429442873267,0.6900664888559758,0.4975386758870937,99.51014655361749,0.7349506008620382
DC-F,SBVCHP_SBORC,R1233zd(E),R227ea,0.38216564955752624,29.406407626642245,0.15984396653197527,111.86868635968226,52.13484496424505,59.73384139543721,75.0,25.0,12.801706934317677,10.694410649799838,2.8798784437826632,27.399978511492375,0.8212568192084168,0.7964939556458791,0.6764582999880312,0.4244186012785599,86.86868635968226,0.6001569397329118
DC-F,SBVCHP_SBORC,R1233zd(E),R227ea,0.42010727623391064,18.716992588563393,0.22709830727960714,112.28269599187567,33.30674249312453,78.97595349875114,75.0,25.0,17.324602685417183,9.374765040633253,7.66048611062346,27.185601213282155,0.7860033510942642,0.8385070522412176,0.6130032208294403,0.42714876721207107,87.28269599187567,0.3815961699467297
DC-F,SBVCHP_SBORC,R1233zd(E),R227ea,0.19727501719573687,42.1443805800661,0.10156263490472683,119.99104443961154,74.73452821139486,45.25651622821668,75.0,25.0,13.35929369234285,11.539030382521872,4.123870792767689,17.960734109406467,0.7168087665239044,0.8216638167741539,0.6901478809820014,0.47363459055567714,94.99104443961154,0.7867534108323831
DC-F,SBVCHP_SBORC,R1233zd(E),R227ea,0.3311141509374292,36.15210064870771,0.15745176585669227,118.15579792427555,64.15342607329704,54.002371850978506,75.0,25.0,13.472468906665437,10.949028882948138,3.1376953184543144,26.6115590819718,0.7910196403149752,0.8456688818295072,0.5210972487112746,0.4632647552367703,93.15579792427555,0.688668096917017
DC-F,SBVCHP_SBORC,R1233zd(E),R227ea,0.43379777649374096,21.204604602938524,0.10123913594027191,108.09569298720423,37.627167545339674,70.46852544186456,75.0,25.0,5.640484560799579,4.46772833283369,9.585887029699126,10.39440110703869,0.7977224434902062,0.8053974302507196,0.628113695564646,0.39828409629245864,83.09569298720423,0.45281730246998264
DC-F,SBVCHP_SBORC,R1233zd(E),R227ea,0.22619097341702324,41.875627682997916,0.08427601227669183,121.32136842845435,74.30627931397314,47.01508911448121,75.0,25.0,8.107703557646962,9.647291429799859,1.1680655918130243,13.275354907828925,0.8344489297356319,0.7432020545607323,0.5386008732436929,0.4809043848132304,96.32136842845435,0.7714412754545363
DC-F,SBVCHP_SBORC,R1233zd(E),R227ea,0.27951864280072486,40.92816756337016,0.10918482164456329,126.05006022334547,72.79574350261271,53.25431672073276,75.0,25.0,7.297664051728062,4.397259501331737,4.964535112705426,11.226193481652526,0.8274246714696397,0.7349997077163564,0.6918027236469145,0.5051957426894381,101.05006022334547,0.7203928759836088
DC-F,SBVCHP_SBORC,R1233zd(E),R227ea,0.30249202730675445,39.527028773714484,0.1430950978413107,122.88644864385557,70.228986209227,52.65746243462857,75.0,25.0,10.393603756222339,10.144295068241368,1.1930674272113357,11.028029555442764,0.7294829357127033,0.8183595047723817,0.6331524298687292,0.4892040656013875,97.88644864385557,0.7174536126521875
